a	(-AH_)
culpable	(K-AH_L)(P-AH_)(B-AH_L)
culpepper	(K-AH_L)(P-IH_)(P-ER_)
culprit	(K-AH_L)(PR-IH_T)
culprits	(K-AH_L)(PR-IH_TS)
cult	(K-AH_LT)
cultic	(K-AH_L)(T-IH_K)
cultist	(K-AH_L)(T-AH_ST)
cultists	(K-AH_L)(T-IH_STS)
cultivate	(K-AH_L)(T-AH_)(V-EY_T)
cultivated	(K-AH_L)(T-AH_)(V-EY_)(T-AH_D)
cultivates	(K-AH_L)(T-IH_)(V-EY_TS)
cultivating	(K-AH_L)(T-IH_)(V-EY_)(T-IH_NG)
cultivation	(K-AH_L)(T-IH_)(V-EY_)(SH-AH_N)
culton	(K-AH_L)(T-AH_N)
cults	(K-AH_LTS)
cultural	(K-AH_L)(CH-ER_)(-AH_L)
culturalism	(K-AH_L)(CH-ER_)(-AH_)(L-IH_)(Z-AH_M)
culturally	(K-AH_L)(CH-ER_)(-AH_)(L-IY_)
culture	(K-AH_L)(CH-ER_)
cultured	(K-AH_L)(CH-ER_D)
cultures	(K-AH_L)(CH-ER_Z)
culturing	(K-AH_L)(CH-ER_)(-IH_NG)
culvahouse	(K-AH_L)(V-AH_)(HH-AW_S)
culver	(K-AH_L)(V-ER_)
culverhouse	(K-AH_L)(V-ER_)(HH-AW_S)
culvert	(K-AH_L)(V-ER_T)
culwell	(K-AH_L)(W-EH_L)
cum	(K-AH_M)
cumbee	(K-AH_M)(B-IY_)
cumber	(K-AH_M)(B-ER_)
cumberbatch	(K-AH_M)(B-ER_)(B-AE_CH)
cumberland	(K-AH_M)(B-ER_)(L-AH_ND)
cumberledge	(K-AH_M)(B-ER_)(L-EH_JH)
cumbersome	(K-AH_M)(B-ER_)(S-AH_M)
cumbie	(K-AH_M)(B-IY_)
cumbo	(K-AH_M)(B-OW_)
cumby	(K-AH_M)(B-IY_)
cumings	(K-UW_)(M-IH_NGZ)
cumming	(K-AH_)(M-IH_NG)
cummings	(K-AH_)(M-IH_NGZ)
cummington	(K-AH_)(M-IH_NG)(T-AH_N)
cummins	(K-AH_)(M-IH_NZ)
cummiskey	(K-AH_)(M-IH_)(SK-IY_)
cumpston	(K-AH_MP)(ST-AH_N)
cumpton	(K-AH_MP)(T-AH_N)
cumulative	(KY-UW_)(MY-AH_)(L-AH_)(T-IH_V)
cumulatively	(KY-UW_)(MY-AH_)(L-AH_)(T-IH_V)(L-IY_)
cunanan	(KY-UW_)(N-AE_)(N-AH_N)
cunard	(KY-UW_)(N-ER_D)
cundall	(K-AH_N)(D-AH_L)
cundari	(K-UW_N)(D-AA_)(R-IY_)
cundiff	(K-AH_N)(D-IH_F)
cundill	(K-AH_N)(D-IH_L)
cundy	(K-AH_N)(D-IY_)
cuneiform	(KY-UW_)(N-IY_)(-AH_)(F-AO_RM)
cuneo	(KY-UW_)(N-IY_)(-OW_)
cunha	(K-AH_N)(HH-AH_)
cunliffe	(K-AH_N)(L-IH_F)
cunnane	(K-AH_)(N-AH_N)
cunneen	(K-AH_)(N-IY_N)
cunniff	(K-AH_)(N-IH_F)
cunning	(K-AH_)(N-IH_NG)
cunningham	(K-AH_)(N-IH_NG)(HH-AE_M)
cunnington	(K-AH_)(N-IH_NG)(T-AH_N)
cuny	(KY-UW_)(N-IY_)
cuoco	(KW-OW_)(K-OW_)
cuomo	(KW-OW_)(M-OW_)
cuong	(KW-AO_NG)
cuozzo	(KW-OW_)(Z-OW_)
cup	(K-AH_P)
cupboard	(K-AH_)(B-ER_D)
cupboards	(K-AH_)(B-ER_DZ)
cupcake	(K-AH_P)(K-EY_K)
cupcakes	(K-AH_P)(K-EY_KS)
cupertino	(K-UW_)(P-ER_)(T-IY_)(N-OW_)
cupid	(KY-UW_)(P-IH_D)
cupids	(KY-UW_)(P-IH_DZ)
cupit	(KY-UW_)(P-IH_T)
cupo	(KY-UW_)(P-OW_)
cupp	(K-AH_P)
cuppett	(K-AH_)(P-IH_T)
cupples	(K-AH_)(P-AH_LZ)
cupps	(K-AH_PS)
cuppy	(K-AH_)(P-IY_)
cups	(K-AH_PS)
cur	(K-ER_)
curable	(KY-UH_)(R-AH_)(B-AH_L)
curacao	(KY-UH_)(R-AH_)(S-AW_)
curate	(KY-UH_)(R-AH_T)
curative	(KY-UH_)(R-AH_)(T-IH_V)
curatolo	(K-UH_)(R-AA_)(T-OW_)(L-OW_)
curator	(KY-UH_)(R-EY_)(T-ER_)
curatorial	(KY-UH_)(R-AH_)(T-AO_)(R-IY_)(-AH_L)
curators	(KY-UH_)(R-AH_)(T-ER_Z)
curb	(K-ER_B)
curbed	(K-ER_BD)
curbelo	(K-UH_R)(B-EH_)(L-OW_)
curbing	(K-ER_)(B-IH_NG)
curbow	(K-ER_)(B-OW_)
curbs	(K-ER_BZ)
curbside	(K-ER_B)(S-AY_D)
curbstone	(K-ER_B)(ST-OW_N)
curby	(K-ER_)(B-IY_)
curci	(K-UH_R)(CH-IY_)
curcio	(K-UH_R)(CH-IY_)(-OW_)
curcuru	(K-UH_R)(K-UH_)(R-UW_)
curd	(K-ER_D)
cure	(KY-UH_R)
cured	(KY-UH_RD)
cures	(KY-UH_RZ)
cureton	(KY-UH_R)(T-AH_N)
curfew	(K-ER_)(FY-UW_)
curfews	(K-ER_)(FY-UW_Z)
curfman	(K-ER_F)(M-AH_N)
curiale	(K-UH_)(R-IY_)(-AA_)(L-IY_)
curie	(KY-UH_)(R-IY_)
curiel	(KY-UW_)(R-IY_L)
curing	(KY-UH_)(R-IH_NG)
curington	(KY-UH_)(R-IH_NG)(T-AH_N)
curiosities	(KY-UH_)(R-IY_)(-AA_)(S-AH_)(T-IY_Z)
curiosity	(KY-UH_)(R-IY_)(-AA_)(S-AH_)(T-IY_)
curious	(KY-UH_)(R-IY_)(-AH_S)
curiouser	(KY-UH_)(R-IY_)(-AH_)(S-ER_)
curiously	(KY-UH_)(R-IY_)(-AH_)(SL-IY_)
curitiba	(KY-UH_)(-IH_)(T-IY_)(B-AH_)
curl	(K-ER_L)
curle	(K-AO_)(R-AH_L)
curled	(K-ER_LD)
curlee	(K-ER_)(L-IY_)
curler	(K-ER_)(L-ER_)
curlers	(K-ER_)(L-ER_Z)
curless	(K-ER_)(L-AH_S)
curlett	(K-ER_)(L-IH_T)
curley	(K-ER_)(L-IY_)
curlin	(K-ER_)(L-IH_N)
curling	(K-ER_)(L-IH_NG)
curls	(K-ER_LZ)
curly	(K-ER_)(L-IY_)
curmudgeon	(K-ER_)(M-AH_)(JH-IH_N)
curnow	(K-ER_)(N-OW_)
curnutt	(K-ER_)(N-AH_T)
curnutte	(K-ER_)(N-AH_T)
curragh	(K-AH_)(R-AH_)
curran	(K-ER_)(-AH_N)
curren	(K-ER_)(-AH_N)
currence	(K-ER_)(-AH_NS)
currencies	(K-ER_)(-AH_N)(S-IY_Z)
currency	(K-ER_)(-AH_N)(S-IY_)
currencywatch	(K-ER_)(-AH_N)(S-IY_)(W-AA_CH)
currens	(K-ER_)(-AH_NZ)
current	(K-ER_)(-AH_NT)
currently	(K-ER_)(-AH_NT)(L-IY_)
currents	(K-ER_)(-AH_NTS)
curreri	(K-UH_)(R-EH_)(R-IY_)
currey	(K-ER_)(-IY_)
curricula	(K-ER_)(-IH_)(KY-AH_)(L-AH_)
curricular	(K-ER_)(-IH_)(KY-AH_)(L-ER_)
curriculum	(K-ER_)(-IH_)(KY-AH_)(L-AH_M)
curriculums	(K-ER_)(-IH_)(KY-AH_)(L-AH_MZ)
currie	(K-ER_)(-IY_)
curried	(K-ER_)(-IY_D)
currier	(K-ER_)(-IY_)(-ER_)
curries	(K-ER_)(-IY_Z)
currin	(K-AO_)(R-IH_N)
currington	(K-ER_)(-IH_NG)(T-AH_N)
curro	(K-UH_)(R-OW_)
curry	(K-AH_)(R-IY_)
currying	(K-ER_)(-IY_)(-IH_NG)
currys	(K-AH_)(R-IY_Z)
curse	(K-ER_S)
cursed	(K-ER_ST)
curses	(K-ER_)(S-IH_Z)
cursing	(K-ER_)(S-IH_NG)
cursor	(K-ER_)(S-ER_)
cursory	(K-ER_)(S-ER_)(-IY_)
curt	(K-ER_T)
curtail	(K-ER_)(T-EY_L)
curtailed	(K-ER_)(T-EY_LD)
curtailing	(K-ER_)(T-EY_)(L-IH_NG)
curtailment	(K-ER_)(T-EY_L)(M-AH_NT)
curtailments	(K-ER_)(T-EY_L)(M-AH_NTS)
curtails	(K-ER_)(T-EY_LZ)
curtain	(K-ER_)(T-AH_N)
curtains	(K-ER_)(T-AH_NZ)
curti	(K-UH_R)(T-IY_)
curtice	(K-UH_R)(T-IH_S)
curtin	(K-ER_)(T-IH_N)
curtis	(K-ER_)(T-AH_S)
curtiss	(K-ER_)(T-IH_S)
curtly	(K-ER_T)(L-IY_)
curtner	(K-ER_T)(N-ER_)
curto	(K-UH_R)(T-OW_)
curtright	(K-ER_)(TR-AY_T)
curts	(K-ER_TS)
curtsinger	(K-ER_T)(S-IH_N)(JH-ER_)
curvature	(K-ER_)(V-AH_)(CH-ER_)
curve	(K-ER_V)
curved	(K-ER_VD)
curves	(K-ER_VZ)
curvin	(K-ER_)(V-IH_N)
curving	(K-ER_)(V-IH_NG)
curvy	(K-ER_)(V-IY_)
curzio	(K-ER_)(Z-IY_)(-OW_)
cus	(K-AH_S)
cusack	(KY-UW_)(Z-AH_K)
cusano	(K-UW_)(S-AA_)(N-OW_)
cush	(K-AH_SH)
cushey	(K-UH_)(SH-IY_)
cushing	(K-UH_)(SH-IH_NG)
cushion	(K-UH_)(SH-AH_N)
cushioned	(K-UH_)(SH-AH_ND)
cushioning	(K-UH_)(SH-AH_)(N-IH_NG)
cushions	(K-UH_)(SH-AH_NZ)
cushitic	(K-AH_)(SH-IH_)(T-IH_K)
cushman	(K-UH_SH)(M-AH_N)
cushy	(K-UH_)(SH-IY_)
cusiana	(KY-UW_)(Z-IY_)(-AE_)(N-AH_)
cusic	(KY-UW_)(Z-IH_K)
cusick	(KY-UW_)(Z-IH_K)
cusimano	(K-UW_)(S-IY_)(M-AA_)(N-OW_)
cusip	(K-AH_)(S-IH_P)
cusk	(K-AH_SK)
cusmano	(K-UW_)(SM-AA_)(N-OW_)
cuso	(KY-UW_)(S-OW_)
cusp	(K-AH_SP)
cuss	(K-AH_S)
cussed	(K-AH_ST)
cussing	(K-AH_)(S-IH_NG)
cusson	(K-AH_)(S-AH_N)
custard	(K-AH_)(ST-ER_D)
custer	(K-AH_)(ST-ER_)
custis	(K-AH_)(ST-IH_S)
custodial	(K-AH_)(ST-OW_)(D-IY_)(-AH_L)
custodian	(K-AH_)(ST-OW_)(D-IY_)(-AH_N)
custodians	(K-AH_)(ST-OW_)(D-IY_)(-AH_NZ)
custodio	(K-UW_)(ST-OW_)(D-IY_)(-OW_)
custody	(K-AH_)(ST-AH_)(D-IY_)
custom	(K-AH_)(ST-AH_M)
customarily	(K-AH_)(ST-AH_)(M-EH_)(R-AH_)(L-IY_)
customary	(K-AH_)(ST-AH_)(M-EH_)(R-IY_)
customer	(K-AH_)(ST-AH_)(M-ER_)
customers	(K-AH_)(ST-AH_)(M-ER_Z)
customize	(K-AH_)(ST-AH_)(M-AY_Z)
customized	(K-AH_)(ST-AH_)(M-AY_ZD)
customizing	(K-AH_)(ST-AH_)(M-AY_)(Z-IH_NG)
customs	(K-AH_)(ST-AH_MZ)
cusumano	(K-UW_)(S-UW_)(M-AA_)(N-OW_)
cut	(K-AH_T)
cutaia	(K-UW_)(T-AA_)(Y-AH_)
cutaway	(K-AH_)(T-AH_)(W-EY_)
cutback	(K-AH_T)(B-AE_K)
cutbacks	(K-AH_T)(B-AE_KS)
cutbirth	(K-AH_T)(B-ER_TH)
cutchall	(K-AH_)(CH-AH_L)
cutcher	(K-AH_)(CH-ER_)
cutchin	(K-AH_)(CH-IH_N)
cutchins	(K-AH_)(CH-IH_NZ)
cute	(KY-UW_T)
cuteness	(KY-UW_T)(N-AH_S)
cuter	(KY-UW_)(T-ER_)
cutesiness	(KY-UW_T)(S-IY_)(N-IH_S)
cutest	(KY-UW_)(T-IH_ST)
cutesy	(KY-UW_T)(S-IY_)
cuthbert	(K-AH_TH)(B-ER_T)
cuthbertson	(K-AH_TH)(B-ER_T)(S-AH_N)
cuthrell	(K-AH_)(THR-AH_L)
cuticle	(KY-UW_)(T-AH_)(K-AH_L)
cutillo	(KY-UW_)(T-IH_)(L-OW_)
cutlass	(K-AH_T)(L-AH_S)
cutler	(K-AH_T)(L-ER_)
cutlery	(K-AH_T)(L-ER_)(-IY_)
cutlip	(K-AH_T)(L-IH_P)
cutoff	(K-AH_)(T-AO_F)
cutoffs	(K-AH_)(T-AO_FS)
cutout	(K-AH_)(T-AW_T)
cutouts	(K-AH_)(T-AW_TS)
cutrale	(K-AH_)(TR-EY_L)
cutrell	(K-AH_)(TR-AH_L)
cutrer	(K-AH_)(TR-ER_)
cutright	(K-AH_)(TR-AY_T)
cutrona	(K-UW_)(TR-OW_)(N-AH_)
cutrone	(K-UW_)(TR-OW_)(N-IY_)
cuts	(K-AH_TS)
cutsforth	(K-AH_T)(SF-AO_RTH)
cutshall	(K-AH_)(CH-AH_L)
cutshaw	(K-AH_)(CH-AO_)
cutsinger	(K-AH_T)(S-IH_N)(JH-ER_)
cutter	(K-AH_)(T-ER_)
cutters	(K-AH_)(T-ER_Z)
cutthroat	(K-AH_T)(THR-OW_T)
cutting	(K-AH_)(T-IH_NG)
cuttings	(K-AH_)(T-IH_NGZ)
cuttino	(K-UW_)(T-IY_)(N-OW_)
cuttlefish	(K-AH_)(T-AH_L)(F-IH_SH)
cutts	(K-AH_TS)
cutty	(K-AH_)(T-IY_)
cutugno	(KY-UW_)(T-AH_N)(Y-OW_)
cutworm	(K-AH_)(TW-ER_M)
cutworms	(K-AH_)(TW-ER_MZ)
cuvelier	(KY-UW_V)(L-IY_)(-ER_)
cuyahoga	(K-AY_)(-AH_)(HH-OW_)(G-AH_)
cuyler	(K-AY_)(L-ER_)
cuzzort	(K-AH_)(Z-ER_T)
cwiertnia	(KW-IY_RT)(N-IY_)(-AH_)
cwik	(KW-IH_K)
cwikla	(KW-IH_)(KL-AH_)
cwiklinski	(KW-IH_)(KL-IH_N)(SK-IY_)
cwynar	(KW-IH_)(N-ER_)
cxc	(S-IY_)(-EH_KS)(S-IY_)
cy	(S-AY_)
cyacq	(S-AY_)(-AE_K)
cyan	(S-AY_)(-AE_N)
cyanamid	(S-AY_)(-AE_)(N-AH_)(M-IH_D)
cyanazine	(S-AY_)(-AH_)(N-AH_)(Z-IY_N)
cyanide	(S-AY_)(-AH_)(N-AY_D)
cyanuric	(S-AY_)(-AE_)(N-ER_)(-IH_K)
cyb	(S-AY_B)
cyber	(S-AY_)(B-ER_)
cybercash	(S-AY_)(B-ER_)(K-AE_SH)
cyberporn	(S-AY_)(B-ER_)(P-AO_RN)
cybersex	(S-AY_)(B-ER_)(S-EH_KS)
cyberspace	(S-AY_)(B-ER_)(SP-EY_S)
cybill	(S-AY_)(B-IH_L)
cybulski	(K-IH_)(B-AH_L)(SK-IY_)
cycads	(S-AY_)(K-AE_DZ)
cycare	(S-AY_)(K-EH_R)
cyclades	(S-AY_)(KL-EY_)(D-IY_Z)
cycle	(S-AY_)(K-AH_L)
cycled	(S-AY_)(K-AH_LD)
cycles	(S-AY_)(K-AH_LZ)
cyclical	(S-AY_)(KL-IH_)(K-AH_L)
cyclicality	(S-IH_)(KL-IH_)(K-AE_)(L-IH_)(T-IY_)
cyclicals	(S-IH_)(KL-IH_)(K-AH_LZ)
cycling	(S-AY_)(K-AH_)(L-IH_NG)
cyclist	(S-AY_)(K-AH_)(L-IH_ST)
cyclists	(S-AY_)(K-AH_)(L-IH_STS)
cyclohexane	(S-AY_)(KL-AH_)(HH-EH_K)(S-EY_N)
cyclone	(S-IH_)(KL-OW_N)
cyclones	(S-IH_)(KL-OW_NZ)
cyclopean	(S-AY_)(KL-AH_)(P-IY_)(-AH_N)
cyclops	(S-AY_)(KL-AO_PS)
cyclosporine	(S-IH_)(KL-AO_)(SP-ER_)(-IY_N)
cyclostome	(S-AY_)(KL-AH_)(ST-OW_M)
cyclostomes	(S-AY_)(KL-AH_)(ST-OW_MZ)
cycolor	(S-IH_)(K-AH_)(L-ER_)
cyd	(S-IH_D)
cydonia	(S-IH_)(D-OW_)(N-IY_)(-AH_)
cydrome	(S-IH_)(DR-OW_M)
cygan	(S-AY_)(G-AH_N)
cygne	(S-IH_G)(N-AH_)
cygnus	(S-IH_G)(N-AH_S)
cyhexatin	(S-AY_)(HH-EH_K)(S-AH_)(T-IH_N)
cylinder	(S-IH_)(L-AH_N)(D-ER_)
cylinders	(S-IH_)(L-AH_N)(D-ER_Z)
cylindrical	(S-AH_)(L-IH_N)(DR-IH_)(K-AH_L)
cymbal	(S-IH_M)(B-AH_L)
cymbals	(S-IH_M)(B-AH_LZ)
cymrot	(S-IH_M)(R-AH_T)
cynara	(K-IH_)(N-AA_)(R-AH_)
cyndi	(S-IH_N)(D-IY_)
cynic	(S-IH_)(N-IH_K)
cynical	(S-IH_)(N-IH_)(K-AH_L)
cynically	(S-IH_)(N-IH_)(K-AH_)(L-IY_)
cynicism	(S-IH_)(N-IH_)(S-IH_)(Z-AH_M)
cynics	(S-IH_)(N-IH_KS)
cynric	(S-IH_N)(R-IH_K)
cynth	(S-IH_NTH)
cynthia	(S-IH_N)(TH-IY_)(-AH_)
cynthie	(S-IH_N)(TH-IY_)
cynwyd	(S-IH_N)(W-IH_D)
cypert	(S-AY_)(P-ER_T)
cypher	(S-AY_)(F-ER_)
cyphers	(S-AY_)(F-ER_Z)
cyphert	(S-AY_)(F-ER_T)
cypress	(S-AY_)(PR-AH_S)
cyprian	(S-IH_)(PR-IY_)(-AH_N)
cypriot	(S-IH_)(PR-IY_)(-AH_T)
cypriots	(S-IH_)(PR-IY_)(-AH_TS)
cypris	(S-AY_)(PR-IH_S)
cyprus	(S-AY_)(PR-AH_S)
cyr	(S-IH_R)
cyran	(K-IH_)(R-AH_N)
cyrano	(K-IY_)(R-AA_)(N-OW_)
cyrena	(K-IH_)(R-IY_)(N-AH_)
cyril	(S-IH_)(R-AH_L)
cyrilla	(S-IH_)(R-IH_)(L-AH_)
cyrillic	(S-ER_)(-IH_)(L-IH_K)
cyrix	(S-AY_)(R-IH_KS)
cyrus	(S-AY_)(R-AH_S)
cyst	(S-IH_ST)
cystic	(S-IH_)(ST-IH_K)
cysts	(S-IH_STS)
cytherea	(S-IH_)(TH-ER_)(-IY_)(-AH_)
cytogen	(S-AY_)(T-OW_)(JH-EH_N)
cytology	(S-AY_)(T-AA_)(L-AH_)(JH-IY_)
cytomegalovirus	(S-AY_)(T-AH_)(M-EH_)(G-AH_)(L-OW_)(V-AY_)(R-AH_S)
cytoplasm	(S-AY_)(T-AH_)(PL-AE_)(Z-AH_M)
cytoplasmic	(S-AY_)(T-AH_)(PL-AE_Z)(M-IH_K)
cytotech	(S-AY_)(T-OW_)(T-EH_K)
cytotechs	(S-AY_)(T-OW_)(T-EH_KS)
cywinski	(K-IH_)(V-IH_N)(SK-IY_)
czaja	(CH-AY_)(-AH_)
czajka	(CH-AY_)(K-AH_)
czajkowski	(CH-AY_)(K-AO_F)(SK-IY_)
czapla	(CH-AA_)(PL-AH_)
czaplewski	(CH-AH_)(PL-EH_F)(SK-IY_)
czaplicki	(CH-AH_)(PL-IH_T)(SK-IY_)
czar	(Z-AA_R)
czarist	(Z-AA_)(R-IH_ST)
czarnecki	(CH-ER_)(N-EH_T)(SK-IY_)
czarnik	(CH-AA_R)(N-IH_K)
czarny	(CH-AA_R)(N-IY_)
czars	(Z-AA_RZ)
czech	(CH-EH_K)
czechoslovak	(CH-EH_)(K-AH_)(SL-OW_)(V-AA_K)
czechoslovakia	(CH-EH_)(K-AH_)(SL-OW_)(V-AA_)(K-IY_)(-AH_)
czechoslovakian	(CH-EH_)(CH-AH_)(SL-OW_)(V-AA_)(K-IY_)(-AH_N)
czechoslovaks	(CH-EH_)(K-AH_)(SL-OW_)(V-AA_KS)
czechowski	(CH-IH_)(HH-AO_F)(SK-IY_)
czechs	(CH-EH_KS)
czekajewski	(CH-EH_)(K-AH_)(JH-UW_)(SK-IY_)
czepiel	(CH-EH_)(P-IY_L)
czerniak	(CH-ER_)(N-IY_)(-AE_K)
czerny	(CH-ER_)(N-IY_)
czerwinski	(CH-ER_)(V-IH_N)(SK-IY_)
czerwonka	(CH-ER_)(V-AA_NG)(K-AH_)
czeslaw	(CH-EH_)(SL-AO_)
czyz	(CH-IH_Z)
czyzewski	(CH-IH_)(Z-EH_F)(SK-IY_)
d	(D-IY_)
da	(D-AA_)
daane	(D-AA_N)
dab	(D-AE_B)
dabah	(D-AE_)(B-AH_)
dabbing	(D-AE_)(B-IH_NG)
dabble	(D-AE_)(B-AH_L)
dabbled	(D-AE_)(B-AH_LD)
dabbles	(D-AE_)(B-AH_LZ)
dabbling	(D-AE_)(B-AH_)(L-IH_NG)
dabbs	(D-AE_BZ)
dabchick	(D-AE_B)(CH-IH_K)
dabhol	(D-AE_)(B-OW_L)
dabkowski	(D-AH_B)(K-AO_F)(SK-IY_)
dabney	(D-AE_B)(N-IY_)
dabrowski	(D-AH_)(BR-AO_F)(SK-IY_)
dac	(D-AE_K)
dace	(D-EY_S)
dacey	(D-EY_)(S-IY_)
dacha	(D-AA_)(CH-AH_)
dachau	(D-AE_)(K-AW_)
dachshund	(D-AA_KS)(HH-UH_ND)
dachshunds	(D-AA_KS)(HH-UH_NTS)
dacia	(D-EY_)(SH-IY_)(-AH_)
dack	(D-AE_K)
dacosta	(D-AA_)(K-OW_)(ST-AH_)
dacquisto	(D-AE_)(KW-IH_)(ST-OW_)
dacron	(D-AE_)(KR-AA_N)
dacruz	(D-AA_)(KR-UW_Z)
dacs	(D-AE_KS)
dacunha	(D-AH_)(K-AH_N)(HH-AH_)
dacus	(D-AE_)(K-IH_S)
dacy	(D-EY_)(S-IY_)
dad	(D-AE_D)
dada	(D-AA_)(D-AA_)
dadamo	(D-AA_)(D-AA_)(M-OW_)
daddario	(D-AA_)(D-AA_)(R-IY_)(-OW_)
daddies	(D-AE_)(D-IY_Z)
daddona	(D-AA_)(D-OW_)(N-AH_)
daddy	(D-AE_)(D-IY_)
dade	(D-EY_D)
dadeland	(D-EY_D)(L-AH_ND)
dadfar	(D-AE_D)(F-AA_R)
dadisman	(D-AE_)(D-IH_)(SM-AH_N)
dado	(D-EY_)(D-OW_)
dads	(D-AE_DZ)
dady	(D-EY_)(D-IY_)
dae	(D-EY_)
daedalus	(D-EH_)(D-AH_)(L-AH_S)
daelim	(D-EY_)(L-IY_M)
daemon	(D-IY_)(M-AH_N)
daenzer	(D-EH_N)(Z-ER_)
daewoo	(D-EY_)(W-UW_)
daffern	(D-AE_)(F-ER_N)
daffin	(D-AE_)(F-IH_N)
daffodil	(D-AE_)(F-AH_)(D-IH_L)
daffodils	(D-AE_)(F-AH_)(D-IH_LZ)
daffron	(D-AE_)(FR-AH_N)
daffy	(D-AE_)(F-IY_)
daffynition	(D-AE_)(F-IY_)(N-IH_)(SH-AH_N)
dafna	(D-AE_F)(N-AH_)
dafoe	(D-AE_)(F-OW_)
dafsa	(D-AE_F)(S-AH_)
daft	(D-AE_FT)
dag	(D-AE_G)
dagan	(D-EY_)(G-AH_N)
dagata	(D-AA_)(G-AA_)(T-AH_)
dagen	(D-AE_)(G-AH_N)
dagenais	(D-AE_)(ZH-IH_)(N-EY_)
dagenham	(D-AE_)(G-AH_N)(HH-AE_M)
dagenhart	(D-AE_)(G-AH_N)(HH-AA_RT)
dager	(D-EY_)(G-ER_)
dagestan	(D-AE_)(G-EH_)(ST-AE_N)
dagg	(D-AE_G)
dagger	(D-AE_)(G-ER_)
daggers	(D-AE_)(G-ER_Z)
daggett	(D-AE_)(G-IH_T)
daggs	(D-AE_GZ)
daggy	(D-AE_)(G-IY_)
dagle	(D-EY_)(G-AH_L)
dagley	(D-AE_)(GL-IY_)
dagmar	(D-AE_G)(M-AA_R)
dagon	(D-EY_)(G-AH_N)
dagostino	(D-AA_)(G-OW_)(ST-IY_)(N-OW_)
dague	(D-AA_G)
dagwood	(D-AE_)(GW-UH_D)
dah	(D-AH_)
daher	(D-AA_)(-ER_)
dahill	(D-AA_)(HH-IH_L)
dahl	(D-AA_L)
dahlberg	(D-AA_L)(B-ER_G)
dahle	(D-AA_)(-AH_L)
dahlem	(D-AA_)(L-IH_M)
dahlen	(D-AA_)(L-AH_N)
dahler	(D-AA_)(L-ER_)
dahlgren	(D-AE_L)(GR-IH_N)
dahlheimer	(D-AA_L)(HH-AY_)(M-ER_)
dahlia	(D-AE_L)(Y-AH_)
dahlin	(D-AA_)(L-IH_N)
dahlke	(D-AA_LK)
dahlman	(D-AA_L)(M-AH_N)
dahlquist	(D-AA_L)(KW-IH_ST)
dahlstrom	(D-AA_L)(STR-AH_M)
dahm	(D-AE_M)
dahman	(D-AA_)(M-AH_N)
dahmen	(D-AA_)(M-EH_N)
dahmer	(D-AA_)(M-ER_)
dahms	(D-AA_MZ)
dahn	(D-AE_N)
dahnke	(D-AE_NGK)
dahrain	(D-AH_)(R-EY_N)
dai	(D-AY_)
daido	(D-EY_)(D-OW_)
daidone	(D-EY_)(D-OW_N)
daiei	(D-AY_)(-EY_)
daigle	(D-EY_)(G-AH_L)
daigler	(D-EY_)(GL-ER_)
daignault	(D-EH_G)(N-OW_)
daigneault	(D-EH_G)(N-OW_)
daigre	(D-EY_)(G-ER_)
daigrepont	(D-EY_)(GR-IH_)(P-AA_NT)
daihatsu	(D-AY_)(HH-AE_T)(S-UW_)
daiichi	(D-AY_)(-IY_)(CH-IY_)
daikin	(D-EY_)(K-IH_N)
dail	(D-EY_L)
daile	(D-EY_L)
dailey	(D-EY_)(L-IY_)
dailies	(D-EY_)(L-IY_Z)
daily	(D-EY_)(L-IY_)
daimler	(D-EY_M)(L-ER_)
daimones	(D-EY_)(M-OW_NZ)
dain	(D-EY_N)
daines	(D-EY_NZ)
daini	(D-EY_)(N-IY_)
dainippon	(D-EY_)(N-IH_)(P-AA_N)
dains	(D-EY_NZ)
dainty	(D-EY_N)(T-IY_)
dairies	(D-EH_)(R-IY_Z)
dairy	(D-EH_)(R-IY_)
dairying	(D-EH_)(R-IY_)(-IH_NG)
dairymen	(D-EY_)(R-IY_)(M-AH_N)
dais	(D-EY_Z)
daise	(D-EY_Z)
daisey	(D-EY_)(S-IY_)
daishowa	(D-EY_)(SH-AW_)(-AH_)
daisies	(D-EY_)(Z-IY_Z)
daisy	(D-EY_)(Z-IY_)
daiwa	(D-EY_)(W-AH_)
dajun	(D-EY_)(JH-AH_N)
dak	(D-AE_K)
dakar	(D-AA_)(K-AA_R)
dake	(D-EY_K)
dakin	(D-EY_)(K-IH_N)
dakota	(D-AH_)(K-OW_)(T-AH_)
dakotan	(D-AH_)(K-OW_)(T-AH_N)
dakotans	(D-AH_)(K-OW_)(T-AH_NZ)
dakotas	(D-AH_)(K-OW_)(T-AH_Z)
dal	(D-AE_L)
dalafield	(D-AE_)(L-AH_)(F-IY_LD)
dalai	(D-AE_)(L-EY_)
dalal	(D-EY_)(L-AH_L)
dalbar	(D-AE_L)(B-AA_R)
dalbec	(D-AE_L)(B-IH_K)
dalbert	(D-AE_L)(B-ER_T)
dalbey	(D-AE_L)(B-IY_)
dalby	(D-AO_L)(B-IY_)
dale	(D-EY_L)
daleiden	(D-AE_)(L-AY_)(D-AH_N)
dalen	(D-AE_)(L-AH_N)
daleo	(D-AA_)(L-IY_)(-OW_)
dales	(D-EY_LZ)
dalesandro	(D-AA_)(L-EH_)(S-AA_N)(DR-OW_)
dalesio	(D-AH_)(L-IY_)(S-IY_)(-OW_)
