a	(AH)
florentino	(FL_AO)(R_EH_N)(T_IY)(N_OW)
florer	(FL_AO)(R_ER)
flores	(FL_AO)(R_EH_Z)
florescue	(FL_AO)(R_AH)(SKY_UW)
floresheim	(FL_AO_R)(SH_AY_M)
florey	(FL_AO)(R_IY)
florez	(FL_AO)(R_EH_Z)
flori	(FL_AO)(R_IY)
floria	(FL_AO)(R_IY)(AH)
florian	(FL_AO)(R_IY)(AH_N)
florid	(FL_AO)(R_AH_D)
florida	(FL_AO)(R_AH)(D_AH)
floridabanc	(FL_AO)(R_AH)(D_AH)(B_AE_NGK)
floridian	(FL_AO)(R_IH)(D_IY)(AH_N)
floridians	(FL_AO)(R_IH)(D_IY)(AH_NZ)
florin	(FL_AO)(R_IH_N)
florinda	(FL_AO)(R_IY_N)(D_AH)
florine	(FL_AO)(R_IY)(N_IY)
florio	(FL_AO)(R_IY)(OW)
floris	(FL_AO)(R_IH_S)
florist	(FL_AA)(R_AH_ST)
florists	(FL_AO)(R_IH_STS)
floro	(FL_AO)(R_OW)
florrie	(FL_AO)(R_IY)
florry	(FL_AO)(R_IY)
florsheim	(FL_AO_R)(SH_AY_M)
flory	(FL_AO)(R_IY)
floss	(FL_AA_S)
flossie	(FL_AO)(S_IY)
flotation	(FL_OW)(T_EY)(SH_AH_N)
flotilla	(FL_OW)(T_IH)(L_AH)
flotow	(FL_AA)(T_AW)
flotsam	(FL_AA_T)(S_AH_M)
flott	(FL_AA_T)
flotta	(FL_AA)(T_AH)
flounce	(FL_AW_NS)
flounces	(FL_AW_N)(S_IH_Z)
flounder	(FL_AW_N)(D_ER)
floundered	(FL_AW_N)(D_ER_D)
floundering	(FL_AW_N)(D_ER)(IH_NG)
flounders	(FL_AW_N)(D_ER_Z)
flour	(FL_AW)(ER)
flourish	(FL_ER)(IH_SH)
flourished	(FL_ER)(IH_SHT)
flourishes	(FL_ER)(IH)(SH_AH_Z)
flourishing	(FL_ER)(IH)(SH_IH_NG)
flournoy	(FL_UH_R)(N_OY)
flours	(FL_AW)(ER_Z)
flout	(FL_AW_T)
flouted	(FL_AW)(T_IH_D)
flouting	(FL_AW)(T_IH_NG)
flow	(FL_OW)
flowe	(FL_OW)
flowed	(FL_OW_D)
flower	(FL_AW)(ER)
flowered	(FL_AW)(ER_D)
flowering	(FL_AW)(ER)(IH_NG)
flowerpot	(FL_AW)(ER)(P_AA_T)
flowers	(FL_AW)(ER_Z)
flowery	(FL_AW)(ER)(IY)
flowing	(FL_OW)(IH_NG)
flown	(FL_OW_N)
flows	(FL_OW_Z)
flowton	(FL_OW)(T_AH_N)
floy	(FL_OY)
floyd	(FL_OY_D)
flu	(FL_UW)
flubs	(FL_AH_BZ)
fluck	(FL_AH_K)
fluctuate	(FL_AH_K)(CH_AH)(W_EY_T)
fluctuated	(FL_AH_K)(CH_AH)(W_EY)(T_IH_D)
fluctuates	(FL_AH_K)(CH_UW)(EY_TS)
fluctuating	(FL_AH_K)(CH_AH)(W_EY)(T_IH_NG)
fluctuation	(FL_AH_K)(CH_UW)(EY)(SH_AH_N)
fluctuations	(FL_AH_K)(CH_UW)(EY)(SH_AH_NZ)
flud	(FL_AH_D)
fludd	(FL_AH_D)
flue	(FL_UW)
fluegel	(FL_UH)(G_AH_L)
fluegge	(FL_UW_G)
fluency	(FL_UW)(AH_N)(S_IY)
fluent	(FL_UW)(AH_NT)
fluently	(FL_UW)(AH_NT)(L_IY)
fluet	(FL_UW_T)
fluff	(FL_AH_F)
fluffed	(FL_AH_FT)
fluffier	(FL_AH)(F_IY)(ER)
fluffs	(FL_AH_FS)
fluffy	(FL_AH)(F_IY)
fluharty	(FL_AH)(ER)(T_IY)
fluhr	(FL_ER)
fluid	(FL_UW)(AH_D)
fluidity	(FL_UW)(IH)(D_AH)(T_IY)
fluids	(FL_UW)(AH_DZ)
fluitt	(FL_UW)(AH_T)
fluke	(FL_UW_K)
fluker	(FL_UW)(K_ER)
flukes	(FL_UW_KS)
flulike	(FL_UW)(L_AY_K)
flume	(FL_UW_M)
flumenbaum	(FL_UW)(M_AH_N)(B_AW_M)
flumes	(FL_UW_MZ)
flummox	(FL_AH)(M_AO_KS)
flummoxed	(FL_AH)(M_AO_KST)
flung	(FL_AH_NG)
flunk	(FL_AH_NGK)
flunked	(FL_AH_NGKT)
flunking	(FL_AH_NG)(K_IH_NG)
flunks	(FL_AH_NGKS)
fluor	(FL_UW)(ER)
fluoresce	(FL_UH)(R_EH_S)
fluorescent	(FL_UH)(R_EH)(S_AH_NT)
fluorescently	(FL_UH)(R_EH)(S_AH_NT)(L_IY)
fluorescents	(FL_UH)(R_EH)(S_AH_NTS)
fluoridation	(FL_UH)(R_AH)(D_EY)(SH_AH_N)
fluoride	(FL_UH)(R_AY_D)
fluorides	(FL_UH)(R_AY_DZ)
fluorine	(FL_UH)(R_IY_N)
fluorite	(FL_UH)(R_AY_T)
fluorocarbon	(FL_UH)(R_OW)(K_AA_R)(B_AH_N)
fluorocarbons	(FL_UH)(R_OW)(K_AA_R)(B_AH_NZ)
fluorometer	(FL_UH)(R_AA)(M_AH)(T_ER)
fluorspar	(FL_UH_R)(SP_AA_R)
flurried	(FL_ER)(IY_D)
flurries	(FL_ER)(IY_Z)
flurry	(FL_ER)(IY)
flury	(FL_UW)(R_IY)
flus	(FL_UW_Z)
flush	(FL_AH_SH)
flushed	(FL_AH_SHT)
flushes	(FL_AH)(SH_IH_Z)
flushing	(FL_AH)(SH_IH_NG)
fluster	(FL_AH)(ST_ER)
flustered	(FL_AH)(ST_ER_D)
flute	(FL_UW_T)
flutes	(FL_UW_TS)
flutist	(FL_UW)(T_IH_ST)
flutter	(FL_AH)(T_ER)
fluttered	(FL_AH)(T_ER_D)
fluttering	(FL_AH)(T_ER)(IH_NG)
flutters	(FL_AH)(T_ER_Z)
fluty	(FL_UW)(T_IY)
fluvial	(FL_UW)(V_IY)(AH_L)
flux	(FL_AH_KS)
fluxional	(FL_AH_K)(SH_AH)(N_AH_L)
fly	(FL_AY)
flyby	(FL_AY)(B_AY)
flycatcher	(FL_AY)(K_AE)(CH_ER)
flye	(FL_AY)
flyer	(FL_AY)(ER)
flyers	(FL_AY)(ER_Z)
flying	(FL_AY)(IH_NG)
flynn	(FL_IH_N)
flynt	(FL_IH_NT)
flypaper	(FL_AY)(P_EY)(P_ER)
flythe	(FL_AY_DH)
flytrap	(FL_AY)(TR_AE_P)
flyway	(FL_AY)(W_EY)
flywheel	(FL_AY)(W_IY_L)
fm	(EH)(F_EH_M)
foal	(F_OW_L)
foale	(F_OW_L)
foaling	(F_OW)(L_IH_NG)
foam	(F_OW_M)
foaming	(F_OW)(M_IH_NG)
foams	(F_OW_MZ)
foamy	(F_OW)(M_IY)
foard	(F_AO_RD)
fob	(F_AO_B)
fobbs	(F_AA_BZ)
fobel	(F_OW)(B_AH_L)
fobes	(F_OW_BZ)
focal	(F_OW)(K_AH_L)
focht	(F_AA_KT)
fochtman	(F_AA_KT)(M_AH_N)
fockler	(F_AA)(KL_ER)
focus	(F_OW)(K_AH_S)
focused	(F_OW)(K_AH_ST)
focuses	(F_OW)(K_AH)(S_IH_Z)
focusing	(F_OW)(K_AH)(S_IH_NG)
focussed	(F_OW)(K_AH_ST)
fodder	(F_AA)(D_ER)
fodera	(F_OW)(D_EH)(R_AH)
fodor	(F_OW)(D_ER)
foe	(F_OW)
foehlich	(F_OW)(L_IH_CH)
foell	(F_IY_L)
foeller	(F_OW)(L_ER)
foerster	(F_AO_R)(ST_ER)
foertsch	(F_AO_RCH)
foes	(F_OW_Z)
fog	(F_AA_G)
fogal	(F_OW)(JH_AH_L)
fogarty	(F_AA)(G_AA_R)(T_IY)
fogel	(F_OW)(G_AH_L)
fogelberg	(F_OW)(G_AH_L)(B_ER_G)
fogelman	(F_OW)(G_AH_L)(M_AH_N)
fogelson	(F_OW)(G_AH_L)(S_AH_N)
fogerty	(F_AA)(JH_ER)(T_IY)
fogg	(F_AA_G)
foggiest	(F_AA)(G_IY)(AH_ST)
foggy	(F_AA)(G_IY)
fogle	(F_OW)(G_AH_L)
fogleman	(F_OW)(G_AH_L)(M_AH_N)
fogler	(F_OW)(G_AH)(L_ER)
foglesong	(F_AA)(G_AH_L)(S_AO_NG)
foglia	(F_AA)(GL_IY)(AH)
foglio	(F_AA)(GL_IY)(OW)
fogt	(F_AA_GT)
fogy	(F_OW)(G_IY)
fohl	(F_OW_L)
foia	(F_OW)(Y_AH)
foible	(F_OY)(B_AH_L)
foibles	(F_OY)(B_AH_LZ)
foie	(F_OY)
foil	(F_OY_L)
foiled	(F_OY_LD)
foiles	(F_AA)(AY_LZ)
foiling	(F_OY)(L_IH_NG)
foils	(F_OY_LZ)
foist	(F_OY_ST)
foisted	(F_OY)(ST_IH_D)
foister	(F_OY)(ST_ER)
foisy	(F_OY)(Z_IY)
fojtik	(F_AA_Y)(T_IH_K)
fokker	(F_AA)(K_ER)
folan	(F_OW)(L_AH_N)
foland	(F_OW)(L_AH_ND)
folck	(F_OW_LK)
fold	(F_OW_LD)
folded	(F_OW_L)(D_AH_D)
folden	(F_OW_L)(D_AH_N)
folder	(F_OW_L)(D_ER)
folders	(F_OW_L)(D_ER_Z)
folding	(F_OW_L)(D_IH_NG)
folds	(F_OW_LDZ)
foley	(F_OW)(L_IY)
folger	(F_OW_L)(JH_ER)
folgers	(F_OW_L)(JH_ER_Z)
folha	(F_OW_L)(HH_AH)
foliage	(F_OW)(L_IH_JH)
foliate	(F_OW)(L_IY)(EY_T)
foliation	(F_OW)(L_IY)(EY)(SH_AH_N)
folic	(F_AA)(L_IH_K)
folino	(F_OW)(L_IY)(N_OW)
folk	(F_OW_K)
folker	(F_OW)(K_ER)
folkers	(F_OW)(K_ER_Z)
folkert	(F_OW)(K_ER_T)
folkerts	(F_OW)(K_ER_TS)
folkes	(F_OW_KS)
folkish	(F_OW)(K_IH_SH)
folklore	(F_OW)(KL_AO_R)
folkman	(F_OW_K)(M_AH_N)
folkrock	(F_OW)(KR_AA_K)
folks	(F_OW_KS)
folkstone	(F_OW_K)(ST_OW_N)
folksy	(F_OW_K)(S_IY)
folktale	(F_OW_K)(T_EY_L)
folkway	(F_OW)(KW_EY)
folkways	(F_OW)(KW_EY_Z)
folland	(F_AA)(L_AH_ND)
follett	(F_AA)(L_IH_T)
follette	(F_AA)(L_EH_T)
folley	(F_AA)(L_IY)
folliard	(F_AA_L)(Y_ER_D)
follicle	(F_AA)(L_AH)(K_AH_L)
follicles	(F_AA)(L_IH)(K_AH_LZ)
follies	(F_AA)(L_IY_Z)
follin	(F_AA)(L_IH_N)
follis	(F_AA)(L_IH_S)
follman	(F_AA_L)(M_AH_N)
follmer	(F_AA_L)(M_ER)
follow	(F_AA)(L_OW)
followed	(F_AA)(L_OW_D)
followell	(F_AA)(L_AH)(W_EH_L)
follower	(F_AA)(L_OW)(ER)
followers	(F_AA)(L_OW)(ER_Z)
following	(F_AA)(L_OW)(IH_NG)
followings	(F_AA)(L_OW)(IH_NGZ)
follows	(F_AA)(L_OW_Z)
followup	(F_AA)(L_OW)(AH_P)
folly	(F_AA)(L_IY)
folmar	(F_OW_L)(M_ER)
folmer	(F_OW_L)(M_ER)
folse	(F_OW_LS)
folsom	(F_OW_L)(S_AH_M)
folson	(F_OW_L)(S_AH_N)
folta	(F_OW_L)(T_AH)
foltene	(F_OW_L)(T_IY_N)
folts	(F_OW_LTS)
foltz	(F_OW_LTS)
folwell	(F_OW_L)(W_EH_L)
folz	(F_OW_LZ)
fomby	(F_AA_M)(B_IY)
foment	(F_OW)(M_EH_NT)
fomented	(F_OW)(M_EH_N)(T_IH_D)
fomenting	(F_OW)(M_EH_N)(T_IH_NG)
fomento	(F_OW)(M_EH_N)(T_OW)
fomon	(F_OW)(M_AH_N)
fonar	(F_AA)(N_ER)
foncier	(F_AA_NS)(Y_ER)
fond	(F_AA_ND)
fonda	(F_AA_N)(D_AH)
fonder	(F_AA_N)(D_ER)
fondest	(F_AA_N)(D_AH_ST)
fondiaria	(F_AA_N)(D_IY)(EH)(R_IY)(AH)
fondkommission	(F_AA_ND)(K_AH)(M_IH)(SH_AH_N)
fondle	(F_AO_N)(D_AH_L)
fondled	(F_AO_N)(D_AH_LD)
fondling	(F_AA_N)(D_AH)(L_IH_NG)
fondly	(F_AA_ND)(L_IY)
fondness	(F_AA_ND)(N_AH_S)
fondren	(F_AA_N)(D_ER)(AH_N)
fondue	(F_AA_ND)(Y_UW)
fondues	(F_AA_N)(D_UW_Z)
fone	(F_OW_N)
foner	(F_OW)(N_ER)
fones	(F_OW_NZ)
fong	(F_AO_NG)
fonger	(F_AO_N)(G_ER)
fonner	(F_AA)(N_ER)
fons	(F_AA_NZ)
fonseca	(F_OW_N)(S_EH)(K_AH)
font	(F_AA_NT)
fontaine	(F_AO_N)(T_EY_N)
fontana	(F_AO_N)(T_AE)(N_AH)
fontanella	(F_AA_N)(T_AH)(N_EH)(L_AH)
fontanez	(F_OW_N)(T_AA)(N_EH_Z)
fontanilla	(F_AA_N)(T_AH)(N_IH)(L_AH)
fonte	(F_AA_NT)
fontenette	(F_AA_N)(T_IH)(N_EH_T)
fontenot	(F_AA_N)(T_IH)(N_AH_T)
fontes	(F_OW_N)(T_EH_S)
fonts	(F_AA_NTS)
fonville	(F_OW_N)(V_IH_L)
foo	(F_UW)
food	(F_UW_D)
foodarama	(F_UW)(D_ER)(AE)(M_AH)
foodmaker	(F_UW_D)(M_EY)(K_ER)
foods	(F_UW_DZ)
foodservice	(F_UW_D)(S_ER)(V_IH_S)
foodstuff	(F_UW_D)(ST_AH_F)
foodstuffs	(F_UW_D)(ST_AH_FS)
foodtown	(F_UW_D)(T_AW_N)
foodway	(F_UW)(DW_EY)
foodways	(F_UW)(DW_EY_Z)
fooks	(F_UH_KS)
fool	(F_UW_L)
fooled	(F_UW_LD)
foolery	(F_UW)(L_ER)(IY)
foolhardy	(F_UW_L)(HH_AA_R)(D_IY)
fooling	(F_UW)(L_IH_NG)
foolish	(F_UW)(L_IH_SH)
foolishly	(F_UW)(L_IH_SH)(L_IY)
foolishness	(F_UW)(L_IH_SH)(N_AH_S)
foolproof	(F_UW_L)(PR_UW_F)
fools	(F_UW_LZ)
foong	(F_UW_NG)
foor	(F_UH_R)
foos	(F_UW_Z)
foose	(F_UW_S)
fooshee	(F_UW)(SH_IY)
foot	(F_UH_T)
footage	(F_UH)(T_IH_JH)
football	(F_UH_T)(B_AO_L)
footballs	(F_UH_T)(B_AO_LZ)
foote	(F_UH_T)
footed	(F_UH)(T_IH_D)
footer	(F_UH)(T_ER)
footfall	(F_UH_T)(F_AO_L)
foothill	(F_UH_T)(HH_IH_L)
foothills	(F_UH_T)(HH_IH_LZ)
foothold	(F_UH_T)(HH_OW_LD)
footholds	(F_UH_T)(HH_OW_LDZ)
footing	(F_UH)(T_IH_NG)
footlight	(F_UH_T)(L_AY_T)
footlights	(F_UH_T)(L_AY_TS)
footloose	(F_UH_T)(L_UW_S)
footman	(F_UH_T)(M_AH_N)
footnote	(F_UH_T)(N_OW_T)
footnoted	(F_UH_T)(N_OW)(T_IH_D)
footnotes	(F_UH_T)(N_OW_TS)
footnoting	(F_UH_T)(N_OW)(T_IH_NG)
footpath	(F_UH_T)(P_AE_TH)
footprint	(F_UH_T)(PR_IH_NT)
footprints	(F_UH_T)(PR_IH_NTS)
footrace	(F_UH)(TR_EY_S)
footstep	(F_UH_T)(ST_EH_P)
footsteps	(F_UH_T)(ST_EH_PS)
footwall	(F_UH)(TW_AO_L)
footware	(F_UH)(TW_EH_R)
footwear	(F_UH)(TW_EH_R)
footwork	(F_UH)(TW_ER_K)
fop	(F_AO_P)
foppiano	(F_OW)(P_IY)(AA)(N_OW)
for	(F_AO_R)
fora	(F_AO)(R_AH)
forage	(F_AO)(R_IH_JH)
forages	(F_AO)(R_AH)(JH_AH_Z)
foraging	(F_AO)(R_IH)(JH_IH_NG)
foraker	(F_AO)(R_AH)(K_ER)
foramen	(F_ER)(EY)(M_AH_N)
foran	(F_AO)(R_AH_N)
forand	(F_AO)(R_AH_ND)
foray	(F_AO)(R_EY)
forays	(F_AO)(R_EY_Z)
forbad	(F_ER)(B_AE_D)
forbade	(F_ER)(B_EY_D)
forbearance	(F_AO_R)(B_EH)(R_AH_NS)
forbes	(F_AO_RBZ)
forbeses	(F_AO_RB)(Z_IH_Z)
forbess	(F_AO_R)(B_EH_S)
forbid	(F_ER)(B_IH_D)
forbidden	(F_AO_R)(B_IH)(D_AH_N)
forbidding	(F_ER)(B_IH)(D_IH_NG)
forbids	(F_ER)(B_IH_DZ)
forbis	(F_AO_R)(B_IH_S)
forbus	(F_AO_R)(B_IH_S)
forbush	(F_AO_R)(B_UH_SH)
force	(F_AO_RS)
forced	(F_AO_RST)
forceful	(F_AO_R)(SF_AH_L)
forcefully	(F_AO_R)(SF_AH)(L_IY)
forcefulness	(F_AO_R)(SF_AH_L)(N_AH_S)
forceps	(F_AO_R)(S_EH_PS)
forces	(F_AO_R)(S_IH_Z)
forcible	(F_AO_R)(S_AH)(B_AH_L)
forcibly	(F_AO_R)(S_AH)(BL_IY)
forcier	(F_AO_R)(K_IY)(ER)
forcing	(F_AO_R)(S_IH_NG)
forcum	(F_AO_R)(K_AH_M)
ford	(F_AO_RD)
forde	(F_AO_RD)
fordham	(F_AO_R)(D_AH_M)
fordice	(F_AO_R)(D_IH_S)
fords	(F_AO_RDZ)
fordyce	(F_AO_R)(D_AY_S)
fore	(F_AO_R)
forearm	(F_AO)(R_AA_RM)
forebear	(F_AO_R)(B_EH_R)
forebearance	(F_AO_R)(B_EH)(R_AH_NS)
forebears	(F_AO_R)(B_EH_RZ)
forebode	(F_AO_R)(B_OW_D)
foreboding	(F_AO_R)(B_OW)(D_IH_NG)
forebrain	(F_AO_R)(BR_EY_N)
forecast	(F_AO_R)(K_AE_ST)
forecasted	(F_AO_R)(K_AE)(ST_IH_D)
forecaster	(F_AO_R)(K_AE)(ST_ER)
forecasters	(F_AO_R)(K_AE)(ST_ER_Z)
forecasting	(F_AO_R)(K_AE)(ST_IH_NG)
forecasts	(F_AO_R)(K_AE_STS)
foreclose	(F_AO_R)(KL_OW_Z)
foreclosed	(F_AO_R)(KL_OW_ZD)
forecloses	(F_AO_R)(KL_OW)(Z_IH_Z)
foreclosing	(F_AO_R)(KL_OW)(Z_IH_NG)
foreclosure	(F_AO_R)(KL_OW)(ZH_ER)
foreclosures	(F_AO_R)(KL_OW)(ZH_ER_Z)
foree	(F_AO)(R_IY)
forefather	(F_AO_R)(F_AA)(DH_ER)
forefathers	(F_AO_R)(F_AA)(DH_ER_Z)
forefinger	(F_AO_R)(F_IH_NG)(G_ER)
forefingers	(F_AO_R)(F_IH_NG)(G_ER_Z)
forefoot	(F_AO_R)(F_UH_T)
forefront	(F_AO_R)(FR_AH_NT)
forego	(F_AO_R)(G_OW)
foregoing	(F_AO_R)(G_OW)(IH_NG)
foregone	(F_AO_R)(G_AO_N)
foreground	(F_AO_R)(GR_AW_ND)
forehand	(F_AO_R)(HH_AE_ND)
forehands	(F_AO_R)(HH_AE_NDZ)
forehead	(F_AO_R)(HH_EH_D)
foreheads	(F_AO_R)(HH_EH_DZ)
foreign	(F_AO)(R_AH_N)
foreigner	(F_AO)(R_AH)(N_ER)
foreigners	(F_AO)(R_AH)(N_ER_Z)
forelimb	(F_AO_R)(L_IH_M)
forelimbs	(F_AO_R)(L_IH_MZ)
foreman	(F_AO_R)(M_AH_N)
foremen	(F_AO_R)(M_AH_N)
foremost	(F_AO_R)(M_OW_ST)
forensic	(F_ER)(EH_N)(S_IH_K)
forensically	(F_ER)(EH_N)(S_IH)(KL_IY)
forensics	(F_ER)(EH_N)(S_IH_KS)
foreperson	(F_AO_R)(P_ER)(S_AH_N)
foreplay	(F_AO_R)(PL_EY)
forero	(F_AO)(R_OW)
forerunner	(F_AO)(R_AH)(N_ER)
forerunners	(F_AO)(R_AH)(N_ER_Z)
foresaw	(F_AO_R)(S_AO)
foresee	(F_AO_R)(S_IY)
foreseeable	(F_AO_R)(S_IY)(AH)(B_AH_L)
foreseeing	(F_AO_R)(S_IY)(IH_NG)
foreseen	(F_AO_R)(S_IY_N)
foresees	(F_AO_R)(S_IY_Z)
foreshadow	(F_AO_R)(SH_AE)(D_OW)
foreshadowed	(F_AO_R)(SH_AE)(D_OW_D)
foreshadowing	(F_AO_R)(SH_AE)(D_OW)(IH_NG)
foreshadows	(F_AO_R)(SH_AE)(D_OW_Z)
foresight	(F_AO_R)(S_AY_T)
foresman	(F_AO_R)(SM_AH_N)
forest	(F_AO)(R_AH_ST)
foresta	(F_AO_R)(ST_AH)
forestall	(F_AO_R)(ST_AO_L)
forestalled	(F_AO_R)(ST_AA_LD)
forestalling	(F_AO_R)(ST_AA)(L_IH_NG)
forested	(F_AO)(R_AH)(ST_AH_D)
forester	(F_AO)(R_AH)(ST_ER)
foresters	(F_AO)(R_AH)(ST_ER_Z)
forestry	(F_AO)(R_AH)(STR_IY)
forests	(F_AO)(R_AH_STS)
forestville	(F_AO)(R_EH_ST)(V_IH_L)
foret	(F_AO_RT)
foretaste	(F_AO_R)(T_EY_ST)
foretell	(F_AO_R)(T_EH_L)
foretelling	(F_AO_R)(T_EH)(L_IH_NG)
forethought	(F_AO_R)(TH_AO_T)
foretold	(F_AO_R)(T_OW_LD)
forever	(F_ER)(EH)(V_ER)
forewarned	(F_AO_R)(W_AO_RND)
forewing	(F_AO_R)(W_IH_NG)
forewings	(F_AO_R)(W_IH_NGZ)
forewoman	(F_AO_R)(W_UW)(M_AH_N)
foreword	(F_AO_R)(W_ER_D)
forex	(F_AO)(R_EH_KS)
forfeit	(F_AO_R)(F_IH_T)
forfeitable	(F_AO_R)(F_AH)(T_AH)(B_AH_L)
forfeited	(F_AO_R)(F_IH)(T_IH_D)
forfeiting	(F_AO_R)(F_AH)(T_IH_NG)
forfeiture	(F_AO_R)(F_AH)(CH_ER)
forfeitures	(F_AO_R)(F_AH)(CH_ER_Z)
forgave	(F_ER)(G_EY_V)
forge	(F_AO_RJH)
forged	(F_AO_RJHD)
forger	(F_AO_R)(JH_ER)
forgeries	(F_AO_R)(JH_ER)(IY_Z)
forgers	(F_AO_R)(JH_ER_Z)
forgery	(F_AO_R)(JH_ER)(IY)
forges	(F_AO_R)(JH_IH_Z)
forget	(F_ER)(G_EH_T)
forgetful	(F_AO_R)(G_EH_T)(F_AH_L)
forgets	(F_ER)(G_EH_TS)
forgettable	(F_AO_R)(G_EH)(T_AH)(B_AH_L)
forgette	(F_ER)(ZH_EH_T)
forgetting	(F_ER)(G_EH)(T_IH_NG)
forgey	(F_AO_R)(JH_IY)
forgie	(F_AO_R)(JH_IY)
forging	(F_AO_R)(JH_IH_NG)
forgings	(F_AO)(JH_IH_NGZ)
forgione	(F_AO_R)(JH_OW)(N_IY)
forgivable	(F_AO_R)(G_IH)(V_AH)(B_AH_L)
forgive	(F_ER)(G_IH_V)
forgiven	(F_ER)(G_IH)(V_AH_N)
forgiveness	(F_ER)(G_IH_V)(N_AH_S)
forgives	(F_ER)(G_IH_VZ)
forgiving	(F_ER)(G_IH)(V_IH_NG)
forgo	(F_AO_R)(G_OW)
forgoes	(F_AO_R)(G_OW_Z)
forgoing	(F_AO_R)(G_OW)(IH_NG)
forgone	(F_AO_R)(G_AA_N)
forgot	(F_ER)(G_AA_T)
forgotten	(F_ER)(G_AA)(T_AH_N)
forgue	(F_AO_RG)
forgy	(F_AO_R)(JH_IY)
forhan	(F_AO_R)(HH_AH_N)
forie	(F_AO)(R_IY)
forin	(F_AO)(R_IH_N)
forinash	(F_AO)(R_IH)(N_AE_SH)
forint	(F_AO)(R_IH_NT)
forints	(F_AO)(R_IH_NTS)
forister	(F_AO)(R_IH)(ST_ER)
fork	(F_AO_RK)
forked	(F_AO_RKT)
forker	(F_AO_R)(K_ER)
forkey	(F_AO_R)(K_IY)
forking	(F_AO_R)(K_IH_NG)
forklift	(F_AO_R)(KL_IH_FT)
forklifts	(F_AO_R)(KL_IH_FTS)
forkner	(F_AO_RK)(N_ER)
forks	(F_AO_RKS)
forlenza	(F_AO_R)(L_EH_N)(Z_AH)
forlorn	(F_ER)(L_AO_RN)
form	(F_AO_RM)
forma	(F_AO_R)(M_AH)
formal	(F_AO_R)(M_AH_L)
formaldehyde	(F_AO_R)(M_AE_L)(D_AH)(HH_AY_D)
formalism	(F_AO_R)(M_AH)(L_IH)(Z_AH_M)
formalist	(F_AO_R)(M_AH)(L_AH_ST)
formalities	(F_AO_R)(M_AE)(L_AH)(T_IY_Z)
formality	(F_AO_R)(M_AE)(L_AH)(T_IY)
formalization	(F_AO_R)(M_AH)(L_AH)(Z_EY)(SH_AH_N)
formalize	(F_AO_R)(M_AH)(L_AY_Z)
formalized	(F_AO_R)(M_AH)(L_AY_ZD)
formalizes	(F_AO_R)(M_AH)(L_AY)(Z_IH_Z)
formalizing	(F_AO_R)(M_AH)(L_AY)(Z_IH_NG)
formally	(F_AO_R)(M_AH)(L_IY)
forman	(F_AO_R)(M_AE_N)
formanek	(F_AO_R)(M_AH)(N_IH_K)
formant	(F_AO_R)(M_AH_NT)
formants	(F_AO_R)(M_AH_NTS)
format	(F_AO_R)(M_AE_T)
formation	(F_AO_R)(M_EY)(SH_AH_N)
formations	(F_AO_R)(M_EY)(SH_AH_NZ)
formative	(F_AO_R)(M_AH)(T_IH_V)
formato	(F_AO_R)(M_AA)(T_OW)
formats	(F_AO_R)(M_AE_TS)
formbey	(F_AO_RM)(B_IY)
formby	(F_AO_RM)(B_IY)
formed	(F_AO_RMD)
former	(F_AO_R)(M_ER)
formerly	(F_AO_R)(M_ER)(L_IY)
formic	(F_AO_R)(M_IH_K)
formica	(F_AO_R)(M_AY)(K_AH)
formidable	(F_AO_R)(M_AH)(D_AH)(B_AH_L)
formidably	(F_AO_R)(M_AH)(D_AH)(BL_IY)
forming	(F_AO_R)(M_IH_NG)
formosa	(F_AO_R)(M_OW)(S_AH)
formoso	(F_AO_R)(M_OW)(S_OW)
forms	(F_AO_RMZ)
formula	(F_AO_R)(MY_AH)(L_AH)
formulaic	(F_AO_R)(MY_AH)(L_EY)(IH_K)
formulary	(F_AO_R)(MY_AH)(L_EH)(R_IY)
formulas	(F_AO_R)(MY_AH)(L_AH_Z)
formulate	(F_AO_R)(MY_AH)(L_EY_T)
formulated	(F_AO_R)(MY_AH)(L_EY)(T_AH_D)
formulates	(F_AO_R)(MY_AH)(L_EY_TS)
formulating	(F_AO_R)(MY_AH)(L_EY)(T_IH_NG)
formulation	(F_AO_R)(MY_AH)(L_EY)(SH_AH_N)
formulations	(F_AO_R)(MY_UW)(L_EY)(SH_AH_NZ)
formylin	(F_AO_R)(M_IH)(L_IH_N)
fornal	(F_AO_R)(N_AH_L)
forner	(F_AO_R)(N_ER)
fornes	(F_AO_RNZ)
forness	(F_ER)(N_IH_S)
forney	(F_AO_R)(N_IY)
forni	(F_AO_R)(N_IY)
fornoff	(F_AO_R)(N_AO_F)
fornwalt	(F_AO_RN)(W_AH_LT)
forquer	(F_AO_R)(K_ER)
forrer	(F_AO)(ER_R)
forrest	(F_AO)(R_AH_ST)
forrestal	(F_AO)(R_AH)(ST_AH_L)
forrester	(F_AO)(R_AH)(ST_ER)
forrey	(F_AO)(R_IY)
forry	(F_AO)(R_IY)
fors	(F_ER_Z)
forsake	(F_AO_R)(S_EY_K)
forsaken	(F_AO_R)(S_EY)(K_AH_N)
forsaking	(F_AO_R)(S_EY)(K_IH_NG)
forsberg	(F_AO_RS)(B_ER_G)
forsburg	(F_AO_RS)(B_ER_G)
forschner	(F_AO_RSH)(N_ER)
forse	(F_AO_RS)
forsee	(F_ER)(S_IY)
