a	(-AH0_)
consolidate	(K-AH0_N)(S-AA1_)(L-IH0_)(D-EY2_Y T)
consolidated	(K-AH0_N)(S-AA1_)(L-AH0_)(D-EY2_Y)(T-AH0_D)
consolidates	(K-AH0_N)(S-AA1_)(L-IH0_)(D-EY2_Y T S)
consolidating	(K-AH0_N)(S-AA1_)(L-AH0_)(D-EY2_Y)(T-IH0_NX)
consolidation	(K-AH0_N)(S-AA2_)(L-AH0_)(D-EY1_Y)(SH-AH0_N)
consolidations	(K-AH0_N)(S-AA2_)(L-IH0_)(D-EY1_Y)(SH-AH0_N Z)
consolidator	(K-AH0_N)(S-AA1_)(L-IH0_)(D-EY2_Y)(T-ER0_)
consolidators	(K-AH0_N)(S-AA1_)(L-IH0_)(D-EY2_Y)(T-ER0_Z)
consoling	(K-AH0_N)(S-OW1_W)(L-IH0_NX)
consolo	(K-AA0_N)(S-OW1_W)(L-OW0_W)
consonant	(K-AA1_N)(S-AH0_)(N-AH0_N T)
consonantal	(K-AA2_N)(S-AH0_)(N-AA1_N)(T-AH0_L)
consonants	(K-AA1_N)(S-AH0_)(N-AH0_N T S)
consort	(K-AH0_N)(S-AO1_R T)
consortia	(K-AH0_N)(S-AO1_R)(SH-AH0_)
consorting	(K-AH0_N)(S-AO1_R)(T-IH0_NX)
consortium	(K-AH0_N)(S-AO1_R)(SH-IY0_Y)(-AH0_M)
consortiums	(K-AH0_N)(S-AO1_R)(SH-AH0_M Z)
conspicuous	(K-AH0_N)(S P-IH1_)(K Y-UW0_W)(-AH0_S)
conspicuously	(K-AH0_N)(S P-IH1_)(K Y-UW0_W)(-AH0_)(S L-IY0_Y)
conspiracies	(K-AH0_N)(S P-IH1_)(R-AH0_)(S-IY0_Y Z)
conspiracy	(K-AH0_N)(S P-IH1_)(R-AH0_)(S-IY0_Y)
conspirator	(K-AH0_N)(S P-IH1_)(R-AH0_)(T-ER0_)
conspiratorial	(K-AH0_N)(S P-IH2_)(R-AH0_)(T-AO1_)(R-IY0_Y)(-AH0_L)
conspiratorially	(K-AH0_N)(S P-IH2_)(R-AH0_)(T-AO1_)(R-IY0_Y)(-AH0_)(L-IY0_Y)
conspirators	(K-AH0_N)(S P-IH1_)(R-AH0_)(T-ER0_Z)
conspire	(K-AH0_N)(S P-AA1_Y)(-ER0_)
conspired	(K-AH0_N)(S P-AA1_Y)(-ER0_D)
conspiring	(K-AH0_N)(S P-AA1_Y)(R-IH0_NX)
constable	(K-AA1_N)(S T-AH0_)(B-AH0_L)
constables	(K-AA1_N)(S T-AH0_)(B-AH0_L Z)
constabulary	(K-AH0_N)(S T-AE1_)(B Y-AH0_)(L-EH2_)(R-IY0_Y)
constance	(K-AA1_N)(S T-AH0_N S)
constancy	(K-AA1_N)(S T-AH0_N)(S-IY0_Y)
constant	(K-AA1_N)(S T-AH0_N T)
constanta	(K-AA0_N)(S T-AA1_N)(T-AH0_)
constantin	(K-AH0_N)(S T-AE1_N)(T-IH0_N)
constantina	(K-AA0_N)(S T-AA0_N)(T-IY1_Y)(N-AH0_)
constantine	(K-AA1_N)(S T-AH0_N)(T-IY2_Y N)
constantino	(K-AA2_N)(S T-AH0_N)(T-IY1_Y)(N-OW0_W)
constantinople	(K-AA2_N)(S T-AE0_N)(T-AH0_)(N-OW1_W)(P-AH0_L)
constantinos	(K-AA2_N)(S T-AH0_N)(T-IY1_Y)(N-OW0_W S)
constantly	(K-AA1_N)(S T-AH0_N T)(L-IY0_Y)
constants	(K-AA1_N)(S T-AH0_N T S)
constar	(K-AA1_N)(S T-AA2_R)
constellation	(K-AA2_N)(S T-AH0_)(L-EY1_Y)(SH-AH0_N)
constellations	(K-AA2_N)(S T-AH0_)(L-EY1_Y)(SH-AH0_N Z)
consternation	(K-AA2_N)(S T-ER0_)(N-EY1_Y)(SH-AH0_N)
constipate	(K-AA1_N)(S T-AH0_)(P-EY2_Y T)
constipated	(K-AA1_N)(S T-AH0_)(P-EY2_Y)(T-AH0_D)
constipation	(K-AA2_N)(S T-AH0_)(P-EY1_Y)(SH-AH0_N)
constituencies	(K-AH0_N)(S T-IH1_)(CH-UW0_W)(-AH0_N)(S-IY0_Y Z)
constituency	(K-AH0_N)(S T-IH1_)(CH-UW0_W)(-AH0_N)(S-IY0_Y)
constituent	(K-AH0_N)(S T-IH1_)(CH-UW0_W)(-AH0_N T)
constituents	(K-AH0_N)(S T-IH1_)(CH-UW0_W)(-AH0_N T S)
constitute	(K-AA1_N)(S T-AH0_)(T-UW2_W T)
constituted	(K-AA1_N)(S T-AH0_)(T-UW2_W)(T-AH0_D)
constitutes	(K-AA1_N)(S T-AH0_)(T-UW2_W T S)
constituting	(K-AA1_N)(S T-AH0_)(T-UW2_W)(T-IH0_NX)
constitution	(K-AA2_N)(S T-AH0_)(T-UW1_W)(SH-AH0_N)
constitutional	(K-AA2_N)(S T-AH0_)(T-UW1_W)(SH-AH0_)(N-AH0_L)
constitutionality	(K-AA2_N)(S T-IH0_)(T-UW2_W)(SH-AH0_)(N-AE1_)(L-IH0_)(T-IY0_Y)
constitutionally	(K-AA2_N)(S T-AH0_)(T-UW1_W)(SH-AH0_)(N-AH0_)(L-IY0_Y)
constitutionist	(K-AA2_N)(S T-AH0_)(T-UW1_W)(SH-AH0_)(N-IH0_S T)
constitutionists	(K-AA2_N)(S T-AH0_)(T-UW1_W)(SH-AH0_)(N-IH0_S T S)
constitutions	(K-AA2_N)(S T-IH0_)(T-UW1_W)(SH-AH0_N Z)
constrain	(K-AH0_N)(S T R-EY1_Y N)
constrained	(K-AH0_N)(S T R-EY1_Y N D)
constraining	(K-AH0_N)(S T R-EY1_Y)(N-IH0_NX)
constrains	(K-AH0_N)(S T R-EY1_Y N Z)
constraint	(K-AH0_N)(S T R-EY1_Y N T)
constraints	(K-AH0_N)(S T R-EY1_Y N T S)
constrict	(K-AH0_N)(S T R-IH1_K T)
constricted	(K-AH0_N)(S T R-IH1_K)(T-AH0_D)
constricting	(K-AH0_N)(S T R-IH1_K)(T-IH0_NX)
constriction	(K-AH0_N)(S T R-IH1_K)(SH-AH0_N)
constrictions	(K-AH0_N)(S T R-IH1_K)(SH-AH0_N Z)
constrictor	(K-AH0_N)(S T R-IH1_K)(T-ER0_)
constrictors	(K-AH0_N)(S T R-IH1_K)(T-ER0_Z)
construcciones	(K-AH0_N)(S T R-UW1_W)(CH-IY0_Y)(-OW2_W)(N-EY0_Y Z)
construct	(K-AH0_N)(S T R-AH1_K T)
constructed	(K-AH0_N)(S T R-AH1_K)(T-AH0_D)
constructing	(K-AH0_N)(S T R-AH1_K)(T-IH0_NX)
construction	(K-AH0_N)(S T R-AH1_K)(SH-AH0_N)
constructionist	(K-AH0_N)(S T R-AH1_K)(SH-AH0_)(N-IH0_S T)
constructions	(K-AH0_N)(S T R-AH1_K)(SH-AH0_N Z)
constructive	(K-AH0_N)(S T R-AH1_K)(T-IH0_V)
constructively	(K-AH0_N)(S T R-AH1_K)(T-IH0_V)(L-IY0_Y)
constructor	(K-AH0_N)(S T R-AH1_K)(T-ER0_)
constructors	(K-AH0_N)(S T R-AH1_K)(T-ER0_Z)
constructs	(K-AH0_N)(S T R-AH1_K T S)
construe	(K-AH0_N)(S T R-UW1_W)
construed	(K-AH0_N)(S T R-UW1_W D)
consuela	(K-AH0_N)(S W-EY1_Y)(L-AH0_)
consul	(K-AA1_N)(S-AH0_L)
consular	(K-AA1_N)(S-AH0_)(L-ER0_)
consulate	(K-AA1_N)(S-AH0_)(L-AH0_T)
consulates	(K-AA1_N)(S-AH0_)(L-AH0_T S)
consulship	(K-AA1_N)(S-AH0_L)(SH-IH2_P)
consult	(K-AH0_N)(S-AH1_L T)
consultancy	(K-AH0_N)(S-AH1_L)(T-AH0_N)(S-IY0_Y)
consultant	(K-AH0_N)(S-AH1_L)(T-AH0_N T)
consultants	(K-AH0_N)(S-AH1_L)(T-AH0_N T S)
consultation	(K-AA2_N)(S-AH0_L)(T-EY1_Y)(SH-AH0_N)
consultations	(K-AA2_N)(S-AH0_L)(T-EY1_Y)(SH-AH0_N Z)
consultative	(K-AH0_N)(S-AH1_L)(T-AH0_)(T-IH0_V)
consulted	(K-AH0_N)(S-AH1_L)(T-AH0_D)
consulting	(K-AH0_N)(S-AH1_L)(T-IH0_NX)
consults	(K-AH0_N)(S-AH1_L T S)
consumable	(K-AH0_N)(S-UW1_W)(M-AH0_)(B-AH0_L)
consume	(K-AH0_N)(S-UW1_W M)
consumed	(K-AH0_N)(S-UW1_W M D)
consumer	(K-AH0_N)(S-UW1_W)(M-ER0_)
consumerism	(K-AH0_N)(S-UW1_W)(M-ER0_)(-IH2_)(Z-AH0_M)
consumerist	(K-AH0_N)(S-UW1_W)(M-ER0_)(-IH0_S T)
consumerists	(K-AH0_N)(S-UW1_W)(M-ER0_)(-IH0_S T S)
consumers	(K-AH0_N)(S-UW1_W)(M-ER0_Z)
consumes	(K-AH0_N)(S-UW1_W M Z)
consuming	(K-AH0_N)(S-UW1_W)(M-IH0_NX)
consummate	(K-AA1_N)(S-AH0_)(M-AH0_T)
consummated	(K-AA1_N)(S-AH0_)(M-EY2_Y)(T-AH0_D)
consummating	(K-AA1_N)(S-AH0_)(M-EY2_Y)(T-IH0_NX)
consummation	(K-AA2_N)(S-AH0_)(M-EY1_Y)(SH-AH0_N)
consumption	(K-AH0_N)(S-AH1_M P)(SH-AH0_N)
contac	(K-AA1_N)(T-AE0_K)
contact	(K-AA1_N)(T-AE2_K T)
contacted	(K-AA1_N)(T-AE2_K)(T-IH0_D)
contacting	(K-AA1_N)(T-AE2_K)(T-IH0_NX)
contacts	(K-AA1_N)(T-AE2_K T S)
contadora	(K-AA2_N)(T-AH0_)(D-AO1_)(R-AH0_)
contagion	(K-AH0_N)(T-EY1_Y)(JH-AH0_N)
contagious	(K-AH0_N)(T-EY1_Y)(JH-AH0_S)
contagiousness	(K-AH0_N)(T-EY1_Y)(JH-AH0_)(S N-AH0_S)
contain	(K-AH0_N)(T-EY1_Y N)
contained	(K-AH0_N)(T-EY1_Y N D)
container	(K-AH0_N)(T-EY1_Y)(N-ER0_)
containerboard	(K-AH0_N)(T-EY1_Y)(N-ER0_)(B-AO2_R D)
containerize	(K-AH0_N)(T-EY1_Y)(N-ER0_)(-AA2_Y Z)
containerized	(K-AH0_N)(T-EY1_Y)(N-ER0_)(-AA2_Y Z D)
containers	(K-AH0_N)(T-EY1_Y)(N-ER0_Z)
containing	(K-AH0_N)(T-EY1_Y)(N-IH0_NX)
containment	(K-AH0_N)(T-EY1_Y N)(M-AH0_N T)
contains	(K-AH0_N)(T-EY1_Y N Z)
contaminant	(K-AH0_N)(T-AE1_)(M-AH0_)(N-AH0_N T)
contaminants	(K-AH0_N)(T-AE1_)(M-AH0_)(N-AH0_N T S)
contaminate	(K-AH0_N)(T-AE1_)(M-AH0_)(N-EY2_Y T)
contaminated	(K-AH0_N)(T-AE1_)(M-AH0_)(N-EY2_Y)(T-AH0_D)
contaminates	(K-AH0_N)(T-AE1_)(M-AH0_)(N-EY2_Y T S)
contaminating	(K-AH0_N)(T-AE1_)(M-AH0_)(N-EY2_Y)(T-IH0_NX)
contamination	(K-AH0_N)(T-AE2_)(M-AH0_)(N-EY1_Y)(SH-AH0_N)
contant	(K-AA1_N)(T-AH0_N T)
conte	(K-AO1_N T)
contel	(K-AA1_N)(T-EH2_L)
contemplate	(K-AA1_N)(T-AH0_M)(P L-EY2_Y T)
contemplated	(K-AA1_N)(T-AH0_M)(P L-EY2_Y)(T-IH0_D)
contemplates	(K-AA1_N)(T-AH0_M)(P L-EY2_Y T S)
contemplating	(K-AA1_N)(T-AH0_M)(P L-EY2_Y)(T-IH0_NX)
contemplation	(K-AA2_N)(T-AH0_M)(P L-EY1_Y)(SH-AH0_N)
contemplative	(K-AH0_N)(T-EH1_M)(P L-AH0_)(T-IH0_V)
contempo	(K-AA2_N)(T-EH1_M)(P-OW0_W)
contemporaneous	(K-AH0_N)(T-EH2_M)(P-ER0_)(-EY1_Y)(N-IY0_Y)(-AH0_S)
contemporaneously	(K-AH0_N)(T-EH2_M)(P-ER0_)(-EY1_Y)(N-IY0_Y)(-AH0_)(S L-IY0_Y)
contemporaries	(K-AH0_N)(T-EH1_M)(P-ER0_)(-EH2_)(R-IY0_Y Z)
contemporary	(K-AH0_N)(T-EH1_M)(P-ER0_)(-EH2_)(R-IY0_Y)
contempt	(K-AH0_N)(T-EH1_M P T)
contemptible	(K-AH0_N)(T-EH1_M P)(T-AH0_)(B-AH0_L)
contemptuous	(K-AH0_N)(T-EH1_M P)(CH-UW0_W)(-AH0_S)
contemptuously	(K-AH0_N)(T-EH1_M PCH)(W-AH0_)(S L-IY0_Y)
contend	(K-AH0_N)(T-EH1_N D)
contended	(K-AH0_N)(T-EH1_N)(D-IH0_D)
contender	(K-AH0_N)(T-EH1_N)(D-ER0_)
contenders	(K-AH0_N)(T-EH1_N)(D-ER0_Z)
contending	(K-AH0_N)(T-EH1_N)(D-IH0_NX)
contends	(K-AH0_N)(T-EH1_N D Z)
content	(K-AA1_N)(T-EH0_N T)
contented	(K-AH0_N)(T-EH1_N)(T-AH0_D)
contentedly	(K-AH0_N)(T-EH1_N)(T-AH0_D)(L-IY0_Y)
contention	(K-AH0_N)(T-EH1_N)(SH-AH0_N)
contentioned	(K-AH0_N)(T-EH1_N)(SH-AH0_N D)
contentions	(K-AH0_N)(T-EH1_N)(SH-AH0_N Z)
contentious	(K-AH0_N)(T-EH1_N)(SH-AH0_S)
contentiousness	(K-AH0_N)(T-EH1_N)(SH-AH0_)(S N-AH0_S)
contentment	(K-AH0_N)(T-EH1_N T)(M-AH0_N T)
contento	(K-AH0_N)(T-EH1_N)(T-OW0_W)
contents	(K-AA1_N)(T-EH0_N T S)
contest	(K-AA1_N)(T-EH0_S T)
contestable	(K-AH0_N)(T-EH1_)(S T-AH0_)(B-AH0_L)
contestant	(K-AH0_N)(T-EH1_)(S T-AH0_N T)
contestants	(K-AH0_N)(T-EH1_)(S T-AH0_N T S)
contested	(K-AH0_N)(T-EH1_)(S T-AH0_D)
contesting	(K-AH0_N)(T-EH1_)(S T-IH0_NX)
contests	(K-AA1_N)(T-EH0_S T S)
context	(K-AA1_N)(T-EH0_K S T)
contexts	(K-AA1_N)(T-EH2_K S T S)
conti	(K-AA1_N)(T-IY0_Y)
contibel	(K-AA1_N)(T-IH0_)(B-AH0_L)
conticommodity	(K-AA2_N)(T-IH0_)(K-AH0_)(M-AA1_)(D-IH0_)(T-IY0_Y)
contiguous	(K-AH0_N)(T-IH1_)(G Y-UW0_W)(-AH0_S)
continent	(K-AA1_N)(T-AH0_)(N-AH0_N T)
continental	(K-AA2_N)(T-AH0_)(N-EH1_N)(T-AH0_L)
continentally	(K-AA2_N)(T-AH0_)(N-EH1_N)(T-AH0_)(L-IY0_Y)
continentals	(K-AA2_N)(T-AH0_)(N-EH1_N)(T-AH0_L Z)
continents	(K-AA1_N)(T-AH0_)(N-AH0_N T S)
contingencies	(K-AH0_N)(T-IH1_N)(JH-AH0_N)(S-IY0_Y Z)
contingency	(K-AH0_N)(T-IH1_N)(JH-AH0_N)(S-IY0_Y)
contingent	(K-AH0_N)(T-IH1_N)(JH-AH0_N T)
contingents	(K-AH0_N)(T-IH1_N)(JH-AH0_N T S)
contini	(K-AH0_N)(T-IY1_Y)(N-IY0_Y)
contino	(K-AA0_N)(T-IY1_Y)(N-OW0_W)
continual	(K-AH0_N)(T-IH1_N)(Y-UW0_W)(-AH0_L)
continually	(K-AH0_N)(T-IH1_N)(Y-UW0_W)(-AH0_)(L-IY0_Y)
continuance	(K-AH0_N)(T-IH1_N)(Y-UW0_W)(-AH0_N S)
continuances	(K-AH0_N)(T-IH1_N)(Y-UW0_W)(-AH0_N)(S-IH0_Z)
continuation	(K-AH0_N)(T-IH2_N)(Y-UW0_W)(-EY1_Y)(SH-AH0_N)
continue	(K-AH0_N)(T-IH1_N)(Y-UW0_W)
continued	(K-AH0_N)(T-IH1_N)(Y-UW0_W D)
continues	(K-AH0_N)(T-IH1_N)(Y-UW0_W Z)
continuing	(K-AH0_N)(T-IH1_N)(Y-UW0_W)(-IH0_NX)
continuity	(K-AA2_N)(T-AH0_)(N-UW1_W)(-AH0_)(T-IY0_Y)
continuous	(K-AH0_N)(T-IH1_N)(Y-UW0_W)(-AH0_S)
continuously	(K-AH0_N)(T-IH1_N)(Y-UW0_W)(-AH0_)(S L-IY0_Y)
continuum	(K-AH0_N)(T-IH1_N)(Y-UW0_W)(-AH0_M)
contois	(K-AH0_N)(T W-AA1_)
contort	(K-AH0_N)(T-AO1_R T)
contorted	(K-AH0_N)(T-AO1_R)(T-AH0_D)
contortion	(K-AH0_N)(T-AO1_R)(SH-AH0_N)
contortionist	(K-AH0_N)(T-AO1_R)(SH-AH0_)(N-AH0_S T)
contortions	(K-AH0_N)(T-AO1_R)(SH-AH0_N Z)
contorts	(K-AH0_N)(T-AO1_R T S)
contos	(K-AA1_N)(T-OW0_W Z)
contour	(K-AA1_N)(T-UH2_R)
contoured	(K-AA1_N)(T-UH2_R D)
contours	(K-AA1_N)(T-UH2_R Z)
contra	(K-AA1_N)(T R-AH0_)
contraband	(K-AA1_N)(T R-AH0_)(B-AE2_N D)
contrabassoon	(K-AA1_N)(T R-AH0_)(B-AE0_)(S-UW1_W N)
contraception	(K-AA2_N)(T R-AH0_)(S-EH1_P)(SH-AH0_N)
contraceptive	(K-AA2_N)(T R-AH0_)(S-EH1_P)(T-IH0_V)
contraceptives	(K-AA2_N)(T R-AH0_)(S-EH1_P)(T-IH0_V Z)
contract	(K-AA1_N)(T R-AE2_K T)
contracted	(K-AA1_N)(T R-AE0_K)(T-AH0_D)
contracting	(K-AA1_N)(T R-AE0_K)(T-IH0_NX)
contraction	(K-AH0_N)(T R-AE1_K)(SH-AH0_N)
contractionary	(K-AH0_N)(T R-AE1_K)(SH-AH0_)(N-EH0_)(R-IY0_Y)
contractions	(K-AH0_N)(T R-AE1_K)(SH-AH0_N Z)
contractor	(K-AA1_N)(T R-AE2_K)(T-ER0_)
contractors	(K-AA1_N)(T R-AE2_K)(T-ER0_Z)
contracts	(K-AA1_N)(T R-AE2_K T S)
contractual	(K-AH0_N)(T R-AE1_K)(CH-UW0_W)(-AH0_L)
contractually	(K-AH0_N)(T R-AE1_K)(CH-UW0_W)(-AH0_)(L-IY0_Y)
contradict	(K-AA2_N)(T R-AH0_)(D-IH1_K T)
contradicted	(K-AA2_N)(T R-AH0_)(D-IH1_K)(T-AH0_D)
contradicting	(K-AA2_N)(T R-AH0_)(D-IH1_K)(T-IH0_NX)
contradiction	(K-AA2_N)(T R-AH0_)(D-IH1_K)(SH-AH0_N)
contradictions	(K-AA2_N)(T R-AH0_)(D-IH1_K)(SH-AH0_N Z)
contradictorily	(K-AA2_N)(T R-AH0_)(D-IH1_K)(T-ER0_)(-AH0_)(L-IY0_Y)
contradictory	(K-AA2_N)(T R-AH0_)(D-IH1_K)(T-ER0_)(-IY0_Y)
contradicts	(K-AA2_N)(T R-AH0_)(D-IH1_K T S)
contran	(K-AA1_N)(T R-AE2_N)
contraption	(K-AH0_N)(T R-AE1_P)(SH-AH0_N)
contraptions	(K-AH0_N)(T R-AE1_P)(SH-AH0_N Z)
contrarian	(K-AA2_N)(T R-EH1_)(R-IY0_Y)(-AH0_N)
contrarians	(K-AH0_N)(T R-EH1_)(R-IY0_Y)(-AH0_N Z)
contrariness	(K-AA1_N)(T R-EH0_)(R-IY0_Y)(N-AH0_S)
contrary	(K-AA1_N)(T R-EH0_)(R-IY0_Y)
contras	(K-AA1_N)(T R-AH0_Z)
contrast	(K-AA1_N)(T R-AE0_S T)
contrasted	(K-AH0_N)(T R-AE1_)(S T-AH0_D)
contrasting	(K-AH0_N)(T R-AE1_)(S T-IH0_NX)
contrasts	(K-AA1_N)(T R-AE0_S T S)
contravene	(K-AA1_N)(T R-AH0_)(V-IY2_Y N)
contravention	(K-AA2_N)(T R-AH0_)(V-EH1_N)(CH-AH0_N)
contreras	(K-AA0_N)(T R-EH1_)(R-AA0_Z)
contretemps	(K-AA1_N)(T R-AH0_)(T-EH2_M P S)
contribute	(K-AH0_N)(T R-IH1_)(B Y-UW0_W T)
contributed	(K-AH0_N)(T R-IH1_)(B Y-UW0_W)(T-IH0_D)
contributes	(K-AH0_N)(T R-IH1_)(B Y-UW0_W T S)
contributing	(K-AH0_N)(T R-IH1_)(B Y-UW0_W)(T-IH0_NX)
contribution	(K-AA2_N)(T R-AH0_)(B Y-UW1_W)(SH-AH0_N)
contributions	(K-AA2_N)(T R-AH0_)(B Y-UW1_W)(SH-AH0_N Z)
contributor	(K-AH0_N)(T R-IH1_)(B Y-AH0_)(T-ER0_)
contributors	(K-AH0_N)(T R-IH1_)(B Y-AH0_)(T-ER0_Z)
contributory	(K-AH0_N)(T R-IH1_)(B Y-AH0_)(T-AO2_)(R-IY0_Y)
contrite	(K-AH0_N)(T R-AA1_Y T)
contrition	(K-AH0_N)(T R-IH1_)(SH-AH0_N)
contrivance	(K-AH0_N)(T R-AA1_Y)(V-AH0_N S)
contrivances	(K-AH0_N)(T R-AA1_Y)(V-AH0_N)(S-IH0_Z)
contrive	(K-AH0_N)(T R-AA1_Y V)
contrived	(K-AH0_N)(T R-AA1_Y V D)
control	(K-AH0_N)(T R-OW1_W L)
controladora	(K-AH0_N)(T R-OW2_W)(L-AH0_)(D-AO1_)(R-AH0_)
controllable	(K-AH0_N)(T R-OW1_W)(L-AH0_)(B-AH0_L)
controlled	(K-AH0_N)(T R-OW1_W L D)
controller	(K-AH0_N)(T R-OW1_W)(L-ER0_)
controllers	(K-AH0_N)(T R-OW1_W)(L-ER0_Z)
controlling	(K-AH0_N)(T R-OW1_W)(L-IH0_NX)
controls	(K-AH0_N)(T R-OW1_W L Z)
controversial	(K-AA2_N)(T R-AH0_)(V-ER1_)(SH-AH0_L)
controversies	(K-AA1_N)(T R-AH0_)(V-ER2_)(S-IY0_Y Z)
controversy	(K-AA1_N)(T R-AH0_)(V-ER2_)(S-IY0_Y)
contura	(K-AA2_N)(T-UH1_)(R-AH0_)
contusion	(K-AH0_N)(T-UW1_W)(ZH-AH0_N)
contusions	(K-AH0_N)(T-UW1_W)(ZH-AH0_N Z)
conundrum	(K-AH0_)(N-AH1_N)(D R-AH0_M)
conus	(K-OW1_W)(N-AH0_S)
convair	(K-AA0_N)(V-EH1_R)
convalesce	(K-AA2_N)(V-AH0_)(L-EH1_S)
convalescence	(K-AA2_N)(V-AH0_)(L-EH1_)(S-AH0_N S)
convalescent	(K-AA2_N)(V-AH0_)(L-EH1_)(S-AH0_N T)
convection	(K-AH0_N)(V-EH1_K)(SH-AH0_N)
convene	(K-AH0_N)(V-IY1_Y N)
convened	(K-AH0_N)(V-IY1_Y N D)
convenes	(K-AH0_N)(V-IY1_Y N Z)
convenience	(K-AH0_N)(V-IY1_Y N)(Y-AH0_N S)
conveniences	(K-AH0_N)(V-IY1_Y N)(Y-AH0_N)(S-IH0_Z)
convenient	(K-AH0_N)(V-IY1_Y N)(Y-AH0_N T)
conveniently	(K-AH0_N)(V-IY1_Y N)(Y-AH0_N T)(L-IY0_Y)
convening	(K-AH0_N)(V-IY1_Y)(N-IH0_NX)
convent	(K-AA1_N)(V-AH0_N T)
convention	(K-AH0_N)(V-EH1_N)(SH-AH0_N)
conventional	(K-AH0_N)(V-EH1_N)(SH-AH0_)(N-AH0_L)
conventionally	(K-AH0_N)(V-EH1_N)(SH-AH0_)(N-AH0_)(L-IY0_Y)
conventioneer	(K-AH0_N)(V-EH2_N)(SH-AH0_)(N-IH1_R)
conventioneers	(K-AH0_N)(V-EH2_N)(SH-AH0_)(N-IH1_R Z)
conventions	(K-AH0_N)(V-EH1_N)(SH-AH0_N Z)
converge	(K-AH0_N)(V-ER1_JH)
converged	(K-AH0_N)(V-ER1_JH D)
convergence	(K-AH0_N)(V-ER1_)(JH-AH0_N S)
convergent	(K-AH0_N)(V-ER1_)(JH-AH0_N T)
converging	(K-AH0_N)(V-ER1_)(JH-IH0_NX)
conversant	(K-AH0_N)(V-ER1_)(S-AH0_N T)
conversation	(K-AA2_N)(V-ER0_)(S-EY1_Y)(SH-AH0_N)
conversational	(K-AA2_N)(V-ER0_)(S-EY1_Y)(SH-AH0_)(N-AH0_L)
conversationalist	(K-AA2_N)(V-ER0_)(S-EY1_Y)(SH-AH0_)(N-AH0_)(L-AH0_S T)
conversations	(K-AA2_N)(V-ER0_)(S-EY1_Y)(SH-AH0_N Z)
converse	(K-AA1_N)(V-ER0_S)
conversed	(K-AH0_N)(V-ER1_S T)
conversely	(K-AA1_N)(V-ER0_)(S L-IY0_Y)
converses	(K-AA1_N)(V-ER0_)(S-AH0_Z)
conversing	(K-AH0_N)(V-ER1_)(S-IH0_NX)
conversion	(K-AH0_N)(V-ER1_)(ZH-AH0_N)
conversions	(K-AH0_N)(V-ER1_)(ZH-AH0_N Z)
convert	(K-AA1_N)(V-ER0_T)
converted	(K-AH0_N)(V-ER1_)(T-IH0_D)
converter	(K-AH0_N)(V-ER1_)(T-ER0_)
converters	(K-AH0_N)(V-ER1_)(T-ER0_Z)
convertibility	(K-AA2_N)(V-ER0_)(T-IH0_)(B-IH1_)(L-IH0_)(T-IY0_Y)
convertible	(K-AH0_N)(V-ER1_)(T-AH0_)(B-AH0_L)
convertibles	(K-AH0_N)(V-ER1_)(T-AH0_)(B-AH0_L Z)
converting	(K-AH0_N)(V-ER1_)(T-IH0_NX)
converts	(K-AA1_N)(V-ER0_T S)
convery	(K-AA1_N)(V-ER0_)(-IY0_Y)
convex	(K-AH0_N)(V-EH1_K S)
convey	(K-AH0_N)(V-EY1_Y)
conveyance	(K-AH0_N)(V-EY1_Y)(-AH0_N S)
conveyed	(K-AH0_N)(V-EY1_Y D)
conveyer	(K-AH0_N)(V-EY1_Y)(-ER0_)
conveying	(K-AH0_N)(V-EY1_Y)(-IH0_NX)
conveyor	(K-AH0_N)(V-EY1_Y)(-ER0_)
conveys	(K-AH0_N)(V-EY1_Y Z)
convict	(K-AA1_N)(V-IH0_K T)
convicted	(K-AH0_N)(V-IH1_K)(T-AH0_D)
convicting	(K-AH0_N)(V-IH1_K)(T-IH0_NX)
conviction	(K-AH0_N)(V-IH1_K)(SH-AH0_N)
convictions	(K-AH0_N)(V-IH1_K)(SH-AH0_N Z)
convicts	(K-AA1_N)(V-IH0_K T S)
conville	(K-AA1_N)(V-IH0_L)
convince	(K-AH0_N)(V-IH1_N S)
convinced	(K-AH0_N)(V-IH1_N S T)
convinces	(K-AH0_N)(V-IH1_N)(S-IH0_Z)
convincing	(K-AH0_N)(V-IH1_N)(S-IH0_NX)
convincingly	(K-AH0_N)(V-IH1_N)(S-IH0_N)(G L-IY0_Y)
convivial	(K-AH0_N)(V-IH1_)(V-IY0_Y)(-AH0_L)
convocation	(K-AA2_N)(V-AH0_)(K-EY1_Y)(SH-AH0_N)
convolute	(K-AA1_N)(V-AH0_)(L-UW2_W T)
convoluted	(K-AA1_N)(V-AH0_)(L-UW2_W)(T-AH0_D)
convolution	(K-AA1_N)(V-AH0_)(L-UW2_W)(SH-AH0_N)
convoy	(K-AA1_N)(V-OW2_Y)
convoys	(K-AA1_N)(V-OW2_Y Z)
convulsion	(K-AH0_N)(V-AH1_L)(SH-AH0_N)
convulsions	(K-AH0_N)(V-AH1_L)(SH-AH0_N Z)
convulsive	(K-AH0_N)(V-AH1_L)(S-IH0_V)
conway	(K-AA1_N)(W-EY2_Y)
conwell	(K-AA1_N)(W-EH2_L)
conyer	(K-AA1_N)(Y-ER0_)
conyers	(K-AA1_N)(Y-ER0_Z)
coo	(K-UW1_W)
coochie	(K-UW1_W)(CH-IY0_Y)
