a	(-A0_)
batana	(B-A0_)(T-A0_)(N-A0_)
batanan	(B-A0_)(T-A0_)(N-A0_N )
batanar	(B-A0_)(T-A0_)(N-A0_R )
batane	(B-A0_)(T-A0_)(N-E0_)
batanear	(B-A0_)(T-A0_)(N-E0_)(-A0_R )
batanee	(B-A0_)(T-A0_)(N-E0_)(-E0_)
batanen	(B-A0_)(T-A0_)(N-E0_N )
batanero	(B-A0_)(T-A0_)(N-E0_)(R-O0_)
batano	(B-A0_)(T-A0_)(N-O0_)
batané	(B-A0_)(T-A0_)(N-E1_)
batanó	(B-A0_)(T-A0_)(N-O1_)
bataola	(B-A0_)(T-A0_)(-O0_)(L-A0_)
batata	(B-A0_)(T-A0_)(T-A0_)
batayola	(B-A0_)(T-A0_)(Y-O0_)(L-A0_)
bate	(B-A0_)(T-E0_)
bateador	(B-A0_)(T-E0_)(-A0_)(D-O0_R )
batear	(B-A0_)(T-E0_)(-A0_R )
batee	(B-A0_)(T-E0_)(-E0_)
batel	(B-A0_)(T-E0_L )
batelero	(B-A0_)(T-E0_)(L-E0_)(R-O0_)
baten	(B-A0_)(T-E0_N )
bates	(B-A0_)(T-E0_S )
batiburrillo	(B-A0_)(T-I0_)(B-U0_RR)(-I0_LL)(-O0_)
baticabeza	(B-A0_)(T-I0_)(K-A0_)(B-E0_)(Z-A0_)
baticola	(B-A0_)(T-I0_)(K-O0_)(L-A0_)
baticulo	(B-A0_)(T-I0_)(K-U0_)(L-O0_)
batida	(B-A0_)(T-I0_)(D-A0_)
batidero	(B-A0_)(T-I0_)(D-E0_)(R-O0_)
batido	(B-A0_)(T-I0_)(D-O0_)
batidor	(B-A0_)(T-I0_)(D-O0_R )
batiente	(B-A0_)(T-I0_)(-E0_N)(T-E0_)
batiera	(B-A0_)(T-I0_)(-E0_)(R-A0_)
batiere	(B-A0_)(T-I0_)(-E0_)(R-E0_)
batiese	(B-A0_)(T-I0_)(-E0_)(S-E0_)
batihoja	(B-A0_)(T-I0_)(-O0_X)(-A0_)
batimento	(B-A0_)(T-I0_)(M-E0_N)(T-O0_)
batimos	(B-A0_)(T-I0_)(M-O0_S )
batintín	(B-A0_)(T-I0_N)(T-I1_N )
batiportar	(B-A0_)(T-I0_)(P-O0_R)(T-A0_R )
batiporte	(B-A0_)(T-I0_)(P-O0_R)(T-E0_)
batir	(B-A0_)(T-I0_R )
batirla	(B-A0_)(T-I0_R)(L-A0_)
batirle	(B-A0_)(T-I0_R)(L-E0_)
batirlo	(B-A0_)(T-I0_R)(L-O0_)
batirse	(B-A0_)(T-I0_R)(S-E0_)
batirá	(B-A0_)(T-I0_)(R-A1_)
batirán	(B-A0_)(T-I0_)(R-A1_N )
batirás	(B-A0_)(T-I0_)(R-A1_S )
batiré	(B-A0_)(T-I0_)(R-E1_)
batiría	(B-A0_)(T-I0_)(R-I1_)(-A0_)
batista	(B-A0_)(T-I0_S)(T-A0_)
batiste	(B-A0_)(T-I0_S)(T-E0_)
batió	(B-A0_)(T-I0_)(-O1_)
bato	(B-A0_)(T-O0_)
batojar	(B-A0_)(T-O0_X)(-A0_R )
batoje	(B-A0_)(T-O0_X)(-E0_)
batos	(B-A0_)(T-O0_S )
batracio	(B-A0_T)(R-A0_)(S-I0_)(-O0_)
batucar	(B-A0_)(T-U0_)(K-A0_R )
batuco	(B-A0_)(T-U0_)(K-O0_)
batueco	(B-A0_)(T-U0_)(-E0_)(K-O0_)
batuquear	(B-A0_)(T-U0_)(-K0_)(-E0_)(-A0_R )
batuquee	(B-A0_)(T-U0_)(-K0_)(-E0_)(-E0_)
baturrada	(B-A0_)(T-U0_RR)(-A0_)(D-A0_)
baturro	(B-A0_)(T-U0_RR)(-O0_)
batuta	(B-A0_)(T-U0_)(T-A0_)
batán	(B-A0_)(T-A1_N )
batí	(B-A0_)(T-I1_)
batía	(B-A0_)(T-I1_)(-A0_)
batían	(B-A0_)(T-I1_)(-A0_N )
baudio	(B-A0_)(-U0_)(D-I0_)(-O0_)
baulero	(B-A0_)(-U0_)(L-E0_)(R-O0_)
bauprés	(B-A0_)(-U0_P)(R-E1_S )
bausán	(B-A0_)(-U0_)(S-A1_N )
bautice	(B-A0_)(-U0_)(T-I0_)(S-E0_)
bauticemos	(B-A0_)(-U0_)(T-I0_)(S-E0_)(M-O0_S )
bauticen	(B-A0_)(-U0_)(T-I0_)(S-E0_N )
bauticé	(B-A0_)(-U0_)(T-I0_)(S-E1_)
bautismal	(B-A0_)(-U0_)(T-I0_S)(M-A0_L )
bautismo	(B-A0_)(-U0_)(T-I0_S)(M-O0_)
bautista	(B-A0_)(-U0_)(T-I0_S)(T-A0_)
bautisterio	(B-A0_)(-U0_)(T-I0_S)(T-E0_)(R-I0_)(-O0_)
bautiza	(B-A0_)(-U0_)(T-I0_)(Z-A0_)
bautizaba	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(B-A0_)
bautizaban	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(B-A0_N )
bautizada	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(D-A0_)
bautizado	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(D-O0_)
bautizamos	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(M-O0_S )
bautizan	(B-A0_)(-U0_)(T-I0_)(Z-A0_N )
bautizando	(B-A0_)(-U0_)(T-I0_)(Z-A0_N)(D-O0_)
bautizar	(B-A0_)(-U0_)(T-I0_)(Z-A0_R )
bautizara	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(R-A0_)
bautizaran	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(R-A0_N )
bautizare	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(R-E0_)
bautizaren	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(R-E0_N )
bautizaron	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(R-O0_N )
bautizarse	(B-A0_)(-U0_)(T-I0_)(Z-A0_R)(S-E0_)
bautizará	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(R-A1_)
bautizarán	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(R-A1_N )
bautizarás	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(R-A1_S )
bautizaré	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(R-E1_)
bautizaría	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(R-I1_)(-A0_)
bautizarían	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(R-I1_)(-A0_N )
bautizas	(B-A0_)(-U0_)(T-I0_)(Z-A0_S )
bautizase	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(S-E0_)
bautizasen	(B-A0_)(-U0_)(T-I0_)(Z-A0_)(S-E0_N )
bautizaste	(B-A0_)(-U0_)(T-I0_)(Z-A0_S)(T-E0_)
bautizo	(B-A0_)(-U0_)(T-I0_)(Z-O0_)
bautizos	(B-A0_)(-U0_)(T-I0_)(Z-O0_S )
bautizó	(B-A0_)(-U0_)(T-I0_)(Z-O1_)
bauxita	(B-A0_)(-U0_X)(-I0_)(T-A0_)
bauza	(B-A0_)(-U0_)(Z-A0_)
bayal	(B-A0_)(Y-A0_L )
bayeta	(B-A0_)(Y-E0_)(T-A0_)
bayetón	(B-A0_)(Y-E0_)(T-O1_N )
bayo	(B-A0_)(Y-O0_)
bayoco	(B-A0_)(Y-O0_)(K-O0_)
bayoneta	(B-A0_)(Y-O0_)(N-E0_)(T-A0_)
bayoque	(B-A0_)(Y-O0_)(-K0_)(-E0_)
bayosa	(B-A0_)(Y-O0_)(S-A0_)
bayuca	(B-A0_)(Y-U0_)(K-A0_)
baza	(B-A0_)(Z-A0_)
bazar	(B-A0_)(Z-A0_R )
bazo	(B-A0_)(Z-O0_)
bazofia	(B-A0_)(Z-O0_)(F-I0_)(-A0_)
bazucar	(B-A0_)(Z-U0_)(K-A0_R )
bazuco	(B-A0_)(Z-U0_)(K-O0_)
bazuquear	(B-A0_)(Z-U0_)(-K0_)(-E0_)(-A0_R )
bazuquee	(B-A0_)(Z-U0_)(-K0_)(-E0_)(-E0_)
baída	(B-A0_)(-I1_)(D-A0_)
baña	(B-A0_NY)(-A0_)
bañaba	(B-A0_NY)(-A0_)(B-A0_)
bañaban	(B-A0_NY)(-A0_)(B-A0_N )
bañada	(B-A0_NY)(-A0_)(D-A0_)
bañadero	(B-A0_NY)(-A0_)(D-E0_)(R-O0_)
bañado	(B-A0_NY)(-A0_)(D-O0_)
bañador	(B-A0_NY)(-A0_)(D-O0_R )
bañamos	(B-A0_NY)(-A0_)(M-O0_S )
bañan	(B-A0_NY)(-A0_N )
bañando	(B-A0_NY)(-A0_N)(D-O0_)
bañar	(B-A0_NY)(-A0_R )
bañara	(B-A0_NY)(-A0_)(R-A0_)
bañaran	(B-A0_NY)(-A0_)(R-A0_N )
bañare	(B-A0_NY)(-A0_)(R-E0_)
bañaren	(B-A0_NY)(-A0_)(R-E0_N )
bañaron	(B-A0_NY)(-A0_)(R-O0_N )
bañarse	(B-A0_NY)(-A0_R)(S-E0_)
bañará	(B-A0_NY)(-A0_)(R-A1_)
bañarán	(B-A0_NY)(-A0_)(R-A1_N )
bañarás	(B-A0_NY)(-A0_)(R-A1_S )
bañaré	(B-A0_NY)(-A0_)(R-E1_)
bañaría	(B-A0_NY)(-A0_)(R-I1_)(-A0_)
bañas	(B-A0_NY)(-A0_S )
bañase	(B-A0_NY)(-A0_)(S-E0_)
bañasen	(B-A0_NY)(-A0_)(S-E0_N )
bañaste	(B-A0_NY)(-A0_S)(T-E0_)
bañe	(B-A0_NY)(-E0_)
bañemos	(B-A0_NY)(-E0_)(M-O0_S )
bañen	(B-A0_NY)(-E0_N )
bañero	(B-A0_NY)(-E0_)(R-O0_)
baño	(B-A0_NY)(-O0_)
bañé	(B-A0_NY)(-E1_)
bañó	(B-A0_NY)(-O1_)
baúl	(B-A0_)(-U1_L )
baúles	(B-A0_)(-U1_)(L-E0_S )
be	(B-E0_)
beaciense	(B-E0_)(-A0_)(S-I0_)(-E0_N)(S-E0_)
beata	(B-E0_)(-A0_)(T-A0_)
beaterio	(B-E0_)(-A0_)(T-E0_)(R-I0_)(-O0_)
beatificar	(B-E0_)(-A0_)(T-I0_)(F-I0_)(K-A0_R )
beatifico	(B-E0_)(-A0_)(T-I0_)(F-I0_)(K-O0_)
beatitud	(B-E0_)(-A0_)(T-I0_)(T-U0_D )
beato	(B-E0_)(-A0_)(T-O0_)
beatífico	(B-E0_)(-A0_)(T-I1_)(F-I0_)(K-O0_)
beba	(B-E0_)(B-A0_)
beban	(B-E0_)(B-A0_N )
bebe	(B-E0_)(B-E0_)
bebedero	(B-E0_)(B-E0_)(D-E0_)(R-O0_)
bebedizo	(B-E0_)(B-E0_)(D-I0_)(Z-O0_)
bebedor	(B-E0_)(B-E0_)(D-O0_R )
beben	(B-E0_)(B-E0_N )
beber	(B-E0_)(B-E0_R )
bebercio	(B-E0_)(B-E0_R)(S-I0_)(-O0_)
beberes	(B-E0_)(B-E0_)(R-E0_S )
beberla	(B-E0_)(B-E0_R)(L-A0_)
beberle	(B-E0_)(B-E0_R)(L-E0_)
beberlo	(B-E0_)(B-E0_R)(L-O0_)
beberme	(B-E0_)(B-E0_R)(M-E0_)
bebernos	(B-E0_)(B-E0_R)(N-O0_S )
beberte	(B-E0_)(B-E0_R)(T-E0_)
bebestible	(B-E0_)(B-E0_S)(T-I0_B)(L-E0_)
bebible	(B-E0_)(B-I0_B)(L-E0_)
bebistrajo	(B-E0_)(B-I0_S T)(R-A0_X)(-O0_)
bebiéndolo	(B-E0_)(B-I0_)(-E1_N)(D-O0_)(L-O0_)
bebiéndome	(B-E0_)(B-I0_)(-E1_N)(D-O0_)(M-E0_)
bebiéndonos	(B-E0_)(B-I0_)(-E1_N)(D-O0_)(N-O0_S )
bebiéndote	(B-E0_)(B-I0_)(-E1_N)(D-O0_)(T-E0_)
bebió	(B-E0_)(B-I0_)(-O1_)
bebo	(B-E0_)(B-O0_)
beborrotear	(B-E0_)(B-O0_RR)(-O0_)(T-E0_)(-A0_R )
beborrotee	(B-E0_)(B-O0_RR)(-O0_)(T-E0_)(-E0_)
bebé	(B-E0_)(B-E1_)
bebérmelo	(B-E0_)(B-E1_R)(M-E0_)(L-O0_)
bebérnoslo	(B-E0_)(B-E1_R)(N-O0_S)(L-O0_)
bebérselo	(B-E0_)(B-E1_R)(S-E0_)(L-O0_)
bebértelo	(B-E0_)(B-E1_R)(T-E0_)(L-O0_)
bebí	(B-E0_)(B-I1_)
bebía	(B-E0_)(B-I1_)(-A0_)
beca	(B-E0_)(K-A0_)
becacina	(B-E0_)(K-A0_)(S-I0_)(N-A0_)
becar	(B-E0_)(K-A0_R )
becario	(B-E0_)(K-A0_)(R-I0_)(-O0_)
becerra	(B-E0_)(S-E0_RR)(-A0_)
becerrada	(B-E0_)(S-E0_RR)(-A0_)(D-A0_)
becerrero	(B-E0_)(S-E0_RR)(-E0_)(R-O0_)
becerril	(B-E0_)(S-E0_RR)(-I0_L )
becerro	(B-E0_)(S-E0_RR)(-O0_)
beco	(B-E0_)(K-O0_)
becoquino	(B-E0_)(K-O0_)(-K0_)(-I0_)(N-O0_)
becquerel	(B-E0_)(K-K0_)(-E0_)(R-E0_L )
becqueriano	(B-E0_)(K-K0_)(-E0_)(R-I0_)(-A0_)(N-O0_)
becuadrado	(B-E0_K)(W-A0_D)(R-A0_)(D-O0_)
becuadro	(B-E0_K)(W-A0_D)(R-O0_)
bedel	(B-E0_)(D-E0_L )
bedelio	(B-E0_)(D-E0_)(L-I0_)(-O0_)
bedelía	(B-E0_)(D-E0_)(L-I1_)(-A0_)
bederre	(B-E0_)(D-E0_RR)(-E0_)
beduino	(B-E0_)(D-U0_)(-I0_)(N-O0_)
beduro	(B-E0_)(D-U0_)(R-O0_)
befar	(B-E0_)(F-A0_R )
befe	(B-E0_)(F-E0_)
befo	(B-E0_)(F-O0_)
begardo	(B-E0_)(G-A0_R)(D-O0_)
begastrense	(B-E0_)(G-A0_S T)(R-E0_N)(S-E0_)
begonia	(B-E0_)(G-O0_)(N-I0_)(-A0_)
behetría	(B-E0_)(-E0_T)(R-I1_)(-A0_)
beige	(B-E0_)(-I0_X)(-E0_)
beis	(B-E0_)(-I0_S )
bejarano	(B-E0_X)(-A0_)(R-A0_)(N-O0_)
bejerano	(B-E0_X)(-E0_)(R-A0_)(N-O0_)
bejuco	(B-E0_X)(-U0_)(K-O0_)
bejuquear	(B-E0_X)(-U0_)(-K0_)(-E0_)(-A0_R )
bejuquee	(B-E0_X)(-U0_)(-K0_)(-E0_)(-E0_)
bejín	(B-E0_X)(-I1_N )
bel	(B-E0_L )
belcho	(B-E0_L)(CH-O0_)
beldad	(B-E0_L)(D-A0_D )
beldar	(B-E0_L)(D-A0_R )
belduque	(B-E0_L)(D-U0_)(-K0_)(-E0_)
beldé	(B-E0_L)(D-E1_)
beldó	(B-E0_L)(D-O1_)
belemnita	(B-E0_)(L-E0_M)(N-I0_)(T-A0_)
belemnites	(B-E0_)(L-E0_M)(N-I0_)(T-E0_S )
beles	(B-E0_)(L-E0_S )
belesa	(B-E0_)(L-E0_)(S-A0_)
belez	(B-E0_)(L-E0_Z )
belfo	(B-E0_L)(F-O0_)
belga	(B-E0_L)(G-A0_)
belice	(B-E0_)(L-I0_)(S-E0_)
belicismo	(B-E0_)(L-I0_)(S-I0_S)(M-O0_)
belicista	(B-E0_)(L-I0_)(S-I0_S)(T-A0_)
belicoso	(B-E0_)(L-I0_)(K-O0_)(S-O0_)
beligerante	(B-E0_)(L-I0_X)(-E0_)(R-A0_N)(T-E0_)
belio	(B-E0_)(L-I0_)(-O0_)
belitre	(B-E0_)(L-I0_T)(R-E0_)
bellaca	(B-E0_LL)(-A0_)(K-A0_)
bellaco	(B-E0_LL)(-A0_)(K-O0_)
belladona	(B-E0_LL)(-A0_)(D-O0_)(N-A0_)
bellamente	(B-E0_LL)(-A0_)(M-E0_N)(T-E0_)
bellaquear	(B-E0_LL)(-A0_)(-K0_)(-E0_)(-A0_R )
bellaquee	(B-E0_LL)(-A0_)(-K0_)(-E0_)(-E0_)
belleza	(B-E0_LL)(-E0_)(Z-A0_)
bellido	(B-E0_LL)(-I0_)(D-O0_)
bellista	(B-E0_LL)(-I0_S)(T-A0_)
bello	(B-E0_LL)(-O0_)
bellote	(B-E0_LL)(-O0_)(T-E0_)
bellotear	(B-E0_LL)(-O0_)(T-E0_)(-A0_R )
bellotee	(B-E0_LL)(-O0_)(T-E0_)(-E0_)
bellotero	(B-E0_LL)(-O0_)(T-E0_)(R-O0_)
bellísima	(B-E0_LL)(-I1_)(S-I0_)(M-A0_)
belén	(B-E0_)(L-E1_N )
bemol	(B-E0_)(M-O0_L )
bemoles	(B-E0_)(M-O0_)(L-E0_S )
ben	(B-E0_N )
benceno	(B-E0_N)(S-E0_)(N-O0_)
bencina	(B-E0_N)(S-I0_)(N-A0_)
bendecidor	(B-E0_N)(D-E0_)(S-I0_)(D-O0_R )
bendecir	(B-E0_N)(D-E0_)(S-I0_R )
bendice	(B-E0_N)(D-I0_)(S-E0_)
bendición	(B-E0_N)(D-I0_)(S-I0_)(-O1_N )
bendigo	(B-E0_N)(D-I0_)(G-O0_)
bendito	(B-E0_N)(D-I0_)(T-O0_)
benedicta	(B-E0_)(N-E0_)(D-I0_K)(T-A0_)
benedictino	(B-E0_)(N-E0_)(D-I0_K)(T-I0_)(N-O0_)
benefactor	(B-E0_)(N-E0_)(F-A0_K)(T-O0_R )
beneficencia	(B-E0_)(N-E0_)(F-I0_)(S-E0_N)(S-I0_)(-A0_)
beneficiador	(B-E0_)(N-E0_)(F-I0_)(S-I0_)(-A0_)(D-O0_R )
beneficiar	(B-E0_)(N-E0_)(F-I0_)(S-I0_)(-A0_R )
beneficiario	(B-E0_)(N-E0_)(F-I0_)(S-I0_)(-A0_)(R-I0_)(-O0_)
beneficie	(B-E0_)(N-E0_)(F-I0_)(S-I0_)(-E0_)
beneficio	(B-E0_)(N-E0_)(F-I0_)(S-I0_)(-O0_)
beneficioso	(B-E0_)(N-E0_)(F-I0_)(S-I0_)(-O0_)(S-O0_)
benemérito	(B-E0_)(N-E0_)(M-E1_)(R-I0_)(T-O0_)
beneplácito	(B-E0_)(N-E0_P)(L-A1_)(S-I0_)(T-O0_)
benes	(B-E0_)(N-E0_S )
benevolente	(B-E0_)(N-E0_)(V-O0_)(L-E0_N)(T-E0_)
bengala	(B-E0_NG)(G-A0_)(L-A0_)
bengalí	(B-E0_NG)(G-A0_)(L-I1_)
bengalíes	(B-E0_NG)(G-A0_)(L-I1_)(-E0_S )
benignamente	(B-E0_)(N-I0_G)(N-A0_)(M-E0_N)(T-E0_)
benigno	(B-E0_)(N-I0_G)(N-O0_)
benin	(B-E0_)(N-I0_N )
benito	(B-E0_)(N-I0_)(T-O0_)
benjamita	(B-E0_N X)(-A0_)(M-I0_)(T-A0_)
benjamín	(B-E0_N X)(-A0_)(M-I1_N )
benjuí	(B-E0_N X)(-U0_)(-I1_)
bentos	(B-E0_N)(T-O0_S )
benzoe	(B-E0_N)(Z-O0_)(-E0_)
benzoico	(B-E0_N)(Z-O0_)(-I0_)(K-O0_)
benzol	(B-E0_N)(Z-O0_L )
benéfico	(B-E0_)(N-E1_)(F-I0_)(K-O0_)
benévolamente	(B-E0_)(N-E1_)(V-O0_)(L-A0_)(M-E0_N)(T-E0_)
benévolo	(B-E0_)(N-E1_)(V-O0_)(L-O0_)
beocio	(B-E0_)(-O0_)(S-I0_)(-O0_)
beoda	(B-E0_)(-O0_)(D-A0_)
beodez	(B-E0_)(-O0_)(D-E0_Z )
beodo	(B-E0_)(-O0_)(D-O0_)
beodos	(B-E0_)(-O0_)(D-O0_S )
berberecho	(B-E0_R)(B-E0_)(R-E0_)(CH-O0_)
berberidáceo	(B-E0_R)(B-E0_)(R-I0_)(D-A1_)(S-E0_)(-O0_)
berberisco	(B-E0_R)(B-E0_)(R-I0_S)(K-O0_)
berbiquí	(B-E0_R)(B-I0_)(-K0_)(-I1_)
berbí	(B-E0_R)(B-I1_)
berceo	(B-E0_R)(S-E0_)(-O0_)
berciano	(B-E0_R)(S-I0_)(-A0_)(N-O0_)
bereber	(B-E0_)(R-E0_)(B-E0_R )
berebere	(B-E0_)(R-E0_)(B-E0_)(R-E0_)
berengario	(B-E0_)(R-E0_NG)(G-A0_)(R-I0_)(-O0_)
berenjena	(B-E0_)(R-E0_N X)(-E0_)(N-A0_)
berenjenal	(B-E0_)(R-E0_N X)(-E0_)(N-A0_L )
bergamote	(B-E0_R)(G-A0_)(M-O0_)(T-E0_)
bergamoto	(B-E0_R)(G-A0_)(M-O0_)(T-O0_)
bergante	(B-E0_R)(G-A0_N)(T-E0_)
beriberi	(B-E0_)(R-I0_)(B-E0_)(R-I0_)
berilio	(B-E0_)(R-I0_)(L-I0_)(-O0_)
berilo	(B-E0_)(R-I0_)(L-O0_)
berkeley	(B-E0_R)(K-E0_)(L-E0_Y )
berlina	(B-E0_R)(L-I0_)(N-A0_)
berlingar	(B-E0_R)(L-I0_NG)(G-A0_R )
berlingo	(B-E0_R)(L-I0_NG)(G-O0_)
berma	(B-E0_R)(M-A0_)
bermeja	(B-E0_R)(M-E0_X)(-A0_)
bermejear	(B-E0_R)(M-E0_X)(-E0_)(-A0_R )
bermejecer	(B-E0_R)(M-E0_X)(-E0_)(S-E0_R )
bermejee	(B-E0_R)(M-E0_X)(-E0_)(-E0_)
bermejizo	(B-E0_R)(M-E0_X)(-I0_)(Z-O0_)
bermejo	(B-E0_R)(M-E0_X)(-O0_)
bermejos	(B-E0_R)(M-E0_X)(-O0_S )
bermellón	(B-E0_R)(M-E0_LL)(-O1_N )
bermuda	(B-E0_R)(M-U0_)(D-A0_)
bermudas	(B-E0_R)(M-U0_)(D-A0_S )
bermudina	(B-E0_R)(M-U0_)(D-I0_)(N-A0_)
bernardo	(B-E0_R)(N-A0_R)(D-O0_)
berra	(B-E0_RR)(-A0_)
berran	(B-E0_RR)(-A0_N )
berrar	(B-E0_RR)(-A0_R )
berre	(B-E0_RR)(-E0_)
berrear	(B-E0_RR)(-E0_)(-A0_R )
berree	(B-E0_RR)(-E0_)(-E0_)
berren	(B-E0_RR)(-E0_N )
berrendo	(B-E0_RR)(-E0_N)(D-O0_)
berrera	(B-E0_RR)(-E0_)(R-A0_)
berrido	(B-E0_RR)(-I0_)(D-O0_)
berrinche	(B-E0_RR)(-I0_N)(CH-E0_)
berro	(B-E0_RR)(-O0_)
berrocal	(B-E0_RR)(-O0_)(K-A0_L )
berrueco	(B-E0_RR)(-U0_)(-E0_)(K-O0_)
berré	(B-E0_RR)(-E1_)
berró	(B-E0_RR)(-O1_)
berta	(B-E0_R)(T-A0_)
berza	(B-E0_R)(Z-A0_)
berzal	(B-E0_R)(Z-A0_L )
berzotas	(B-E0_R)(Z-O0_)(T-A0_S )
bes	(B-E0_S )
besalamano	(B-E0_)(S-A0_)(L-A0_)(M-A0_)(N-O0_)
besamanos	(B-E0_)(S-A0_)(M-A0_)(N-O0_S )
besamel	(B-E0_)(S-A0_)(M-E0_L )
besana	(B-E0_)(S-A0_)(N-A0_)
besante	(B-E0_)(S-A0_N)(T-E0_)
besar	(B-E0_)(S-A0_R )
bese	(B-E0_)(S-E0_)
besico	(B-E0_)(S-I0_)(K-O0_)
beso	(B-E0_)(S-O0_)
bestezuela	(B-E0_S)(T-E0_)(Z-U0_)(-E0_)(L-A0_)
bestia	(B-E0_S)(T-I0_)(-A0_)
bestial	(B-E0_S)(T-I0_)(-A0_L )
bestialice	(B-E0_S)(T-I0_)(-A0_)(L-I0_)(S-E0_)
bestialismo	(B-E0_S)(T-I0_)(-A0_)(L-I0_S)(M-O0_)
bestializada	(B-E0_S)(T-I0_)(-A0_)(L-I0_)(Z-A0_)(D-A0_)
bestializado	(B-E0_S)(T-I0_)(-A0_)(L-I0_)(Z-A0_)(D-O0_)
bestializar	(B-E0_S)(T-I0_)(-A0_)(L-I0_)(Z-A0_R )
bestializo	(B-E0_S)(T-I0_)(-A0_)(L-I0_)(Z-O0_)
bestiario	(B-E0_S)(T-I0_)(-A0_)(R-I0_)(-O0_)
besucar	(B-E0_)(S-U0_)(K-A0_R )
besuco	(B-E0_)(S-U0_)(K-O0_)
besugada	(B-E0_)(S-U0_)(G-A0_)(D-A0_)
besugo	(B-E0_)(S-U0_)(G-O0_)
besuguete	(B-E0_)(S-U0_)(G-E0_)(T-E0_)
besuquear	(B-E0_)(S-U0_)(-K0_)(-E0_)(-A0_R )
besuquee	(B-E0_)(S-U0_)(-K0_)(-E0_)(-E0_)
beta	(B-E0_)(T-A0_)
betel	(B-E0_)(T-E0_L )
betijo	(B-E0_)(T-I0_X)(-O0_)
betuminoso	(B-E0_)(T-U0_)(M-I0_)(N-O0_)(S-O0_)
betunar	(B-E0_)(T-U0_)(N-A0_R )
betunero	(B-E0_)(T-U0_)(N-E0_)(R-O0_)
betunes	(B-E0_)(T-U0_)(N-E0_S )
betún	(B-E0_)(T-U1_N )
beudo	(B-E0_)(-U0_)(D-O0_)
bey	(B-E0_Y )
bezaar	(B-E0_)(Z-A0_)(-A0_R )
bezar	(B-E0_)(Z-A0_R )
bezoar	(B-E0_)(Z-O0_)(-A0_R )
bezudo	(B-E0_)(Z-U0_)(D-O0_)
bhutan	(B-U0_)(T-A0_N )
biberón	(B-I0_)(B-E0_)(R-O1_N )
bibijagua	(B-I0_)(B-I0_X)(-A0_G)(W-A0_)
biblia	(B-I0_B)(L-I0_)(-A0_)
bibliofilia	(B-I0_B)(L-I0_)(-O0_)(F-I0_)(L-I0_)(-A0_)
bibliográfico	(B-I0_B)(L-I0_)(-O0_G)(R-A1_)(F-I0_)(K-O0_)
biblioteca	(B-I0_B)(L-I0_)(-O0_)(T-E0_)(K-A0_)
bibliotecario	(B-I0_B)(L-I0_)(-O0_)(T-E0_)(K-A0_)(R-I0_)(-O0_)
bichero	(B-I0_)(CH-E0_)(R-O0_)
bicho	(B-I0_)(CH-O0_)
bici	(B-I0_)(S-I0_)
bicicleta	(B-I0_)(S-I0_K)(L-E0_)(T-A0_)
bicoquete	(B-I0_)(K-O0_)(-K0_)(-E0_)(T-E0_)
bicorne	(B-I0_)(K-O0_R)(N-E0_)
bidé	(B-I0_)(D-E1_)
bidón	(B-I0_)(D-O1_N )
biela	(B-I0_)(-E0_)(L-A0_)
bielda	(B-I0_)(-E0_L)(D-A0_)
bieldar	(B-I0_)(-E0_L)(D-A0_R )
bielde	(B-I0_)(-E0_L)(D-E0_)
bieldo	(B-I0_)(-E0_L)(D-O0_)
bieldos	(B-I0_)(-E0_L)(D-O0_S )
bielgo	(B-I0_)(-E0_L)(G-O0_)
bielorrusia	(B-I0_)(-E0_)(L-O0_RR)(-U0_)(S-I0_)(-A0_)
bien	(B-I0_)(-E0_N )
bienal	(B-I0_)(-E0_)(N-A0_L )
bienalmente	(B-I0_)(-E0_)(N-A0_L)(M-E0_N)(T-E0_)
bienandante	(B-I0_)(-E0_)(N-A0_N)(D-A0_N)(T-E0_)
bienandanza	(B-I0_)(-E0_)(N-A0_N)(D-A0_N)(Z-A0_)
bienaventuranza	(B-I0_)(-E0_)(N-A0_)(V-E0_N)(T-U0_)(R-A0_N)(Z-A0_)
bienaventurar	(B-I0_)(-E0_)(N-A0_)(V-E0_N)(T-U0_)(R-A0_R )
bienestar	(B-I0_)(-E0_)(N-E0_S)(T-A0_R )
bienhechor	(B-I0_)(-E0_)(N-E0_)(CH-O0_R )
bienintencionado	(B-I0_)(-E0_)(N-I0_N)(T-E0_N)(S-I0_)(-O0_)(N-A0_)(D-O0_)
bienio	(B-I0_)(-E0_)(N-I0_)(-O0_)
